X,Y,OBJECTID,FULL_ADDRESS,Name,PID,BWID,Address,DateAdded,DateDeleted,GlobalID
-80.7344411755557,35.2012765069482,128284,6454 ALBEMARLE RD,Aldi,13317131,,370784,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{74031E49-A800-4539-93E7-5596A18F5A06}
-80.7273191165629,35.2007656206628,129031,8800 E W T HARRIS BV,Walmart Neighborhood Market,13325204,100010296,150811,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{B6FAF83B-F674-4FF7-A296-C29DF15B45EA}
-80.6609378194948,35.1726512071709,132232,7036 BRIGHTON PARK DR,Harris Teeter,13538169,300407555,448088,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{816D9399-B57E-47BE-828D-5881AAE79150}
-80.8447978597144,35.1998384443173,143421,1408 EAST BV,The Fresh Market ,15101507,302045612,383449,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{C9455499-2035-4025-B5EA-C2848AD503C4}
-80.797133580172,35.192171640472,147622,931 N WENDOVER RD,Food Lion,15705136,300178601,218282,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{A54A07E6-1228-4CBE-A3EF-46F4F5CDB974}
-80.7291842975159,35.1845334130477,151975,8100 IDLEWILD RD,Food Lion,16503601,300178597,198442,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{165F42F9-E4EB-49CC-A793-74C39810D75F}
-80.8788212475739,35.1644319515984,156351,5550 OLD PINEVILLE RD,Aldi,16908206,,152555,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{87DB383F-4951-42D1-B7B0-7C26F465BBC0}
-80.875423924093,35.1735668862831,157885,4805 SOUTH BV,Mas Por Menos,17105203,,447713,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{14153FDE-AB06-4E6A-B917-A919FC4339F3}
-80.8750526807776,35.1558364294048,160196,5831 SOUTH BV,Food Lion,17301201,300178581,240878,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{96AAFD8B-E35B-433F-9165-A807F4F3B911}
-80.8504051548648,35.1756321403239,164633,4101 PARK RD #290,Harris Teeter,17518101,100036523,122564,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{3CA987E1-4704-483E-A36E-1F82E60C9D88}
-80.801121790008,35.1775306707191,167765,112 S SHARON AMITY RD,Harris Teeter,18112403,100036507,352039,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{1D1EFECD-28C2-438A-8D46-D38998D8F962}
-80.8257994666307,35.1527046167879,169375,6701 MORRISON BV,Harris Teeter,18317599,100036527,174774,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{62CFDA63-CB12-4658-BD03-7185C2CB40B6}
-80.7946583276445,35.1565457869545,170775,4223 PROVIDENCE RD,The Fresh Market,18512117,300178760,126382,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{700139A0-4AA0-48E4-9C51-20C8C26AAEDB}
-80.7090843049199,35.1729199542901,177290,5706 WYALONG DR,Harris Teeter,19304368,100036538,465704,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{79D5848E-303B-4B4A-B6ED-364625B01CF7}
-80.7345976093479,35.1372294969733,177614,1816 GALLERIA BV,Healthy Home Market,19310101,300168613,453804,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{0BA709BF-8AB5-406F-9D9D-3BF981994513}
-80.738711732588,35.1406467473175,177635,1621 SARDIS RD N,Harris Teeter,19310206,100007349,51508,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{E27635DD-C298-4876-ADA9-037648A7E53E}
-80.70606283343,35.1222710475823,178370,1900 MATTHEWS TOWNSHIP PY,Target,19329301,100031275,61395,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{F046F6E3-44BD-4ABF-877F-D62B0E1DD14E}
-80.7108849539063,35.1357730528779,178393,1801 WINDSOR SQUARE DR,Sam's Club,19330303,100031493,57657,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{2AB07A88-3D65-4289-9D84-31ECF15AD028}
-80.7047448022851,35.1301025429416,181242,2125 MATTHEWS TOWNSHIP PY,Costco,19352115,300014292,328366,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{42F3D35F-0F56-4A3B-98A6-40B17D7D1D76}
-80.9406709288389,35.1345159117412,186241,9112 S TRYON ST,Food Lion,20112310,300178593,388405,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{D2010A01-F9B8-4D3E-A21B-6C98AC317200}
-80.9560266568409,35.1198812480745,186550,10710 S TRYON ST,Aldi,20118148,,372814,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{3C907358-0637-477A-83C4-825F7EAE6FA6}
-80.9879868852727,35.104933883027,186984,12810 S TRYON ST,Publix,20123115,301917100,344955,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{0A25E128-B802-41E6-8224-5C98284D4CDB}
-80.9298866464946,35.1460223170382,187794,8120 S TRYON ST,Publix,20130112,301914351,199214,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{79EC536F-F7E6-41FC-B543-738E3D015CC5}
-80.9340186067417,35.1465773575398,187806,8180 S TRYON ST,Walmart Supercenter,20130124,301914351,379305,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{C9DE97C2-589A-4B87-960E-7257A1655940}
-80.8863994217579,35.0901673545444,191042,509 N POLK ST,India Grocers,20508103,,388738,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{78DEE4E4-55B5-471A-A5B0-3AB0C37FBFB8}
-80.8782637861607,35.1355928392422,191433,818 E ARROWOOD RD,Compare Foods,20517306,300619854,200031,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{1DA69AAD-B16D-4676-9EB6-E829BE206B50}
-80.8787335935928,35.1083590901392,191675,9531 SOUTH BV,Target,20707108,300194972,221705,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{AEEFB52F-C019-49ED-B938-A837EA152716}
-80.8790809508108,35.0901935115883,191696,10500 CENTRUM PY,Kmart,20708117,,8020,1970/01/01 00:00:00+00,2020/10/15 00:00:00+00,{24D9312B-28D6-4AEF-B54A-2F0EA9C090A7}
-80.8772499075986,35.0880673902452,191783,10701 CENTRUM PY,Patel Brothers,20709608,301639394,9727,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{A1D92421-D8AC-4FCD-97B7-BAA0CA05ECCF}
-80.8245179670797,35.1171241736064,195176,4100 CARMEL RD,Harris Teeter,20917102,100036531,122361,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{66FB5731-B4F2-49F1-8288-3ADF136F6D7A}
-80.8063299187596,35.1065559780702,199883,7823 COLONY RD,Harris Teeter,21124105,,390070,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{79D0E0AF-1B55-46CA-90A7-5BB288D28867}
-80.7809856519095,35.1089137559543,201264,7400 CANDLEWYCK LN,Food Lion,21131975,300178575,188436,2019/01/01 00:00:00+00,1970/01/01 00:00:00+00,{A726796C-8AA6-42B8-A3D8-68D392E16294}
