NPA,m50_2013,r50_2013,m52_2016,r52_2016,m52_2015,r52_2015,m52_2013,r52_2013,m48_2018,r48_2018,m48_2017,r48_2017,m48_2016,r48_2016,m48_2015,r48_2015,m48_2014,r48_2014,m48_2012,r48_2012,m48_2010,r48_2010,m72_2018,r72_2018,m72_2017,r72_2017,r73_2015,r73_2014
NPA,Arts_Participation_2013,Arts_Participating_Households_2013,311_Requests_2016,311_Calls_2016,311_Requests_2015,311_Calls_2015,311_Requests_2013,311_Calls_2013,Voter_Participation_2018,Voters_Participating_2018,Voter_Participation_2017,Voters_Participating_2017,Voter_Participation_2016,Voters_Participating_2016,Voter_Participation_2015,Voters_Participating_2015,Voter_Participation_2014,Voters_Participating_2014,Voter_Participation_2012,Voters_Participating_2012,Voter_Participation_2010,Voters_Participating_2010,Board_Committee_Participation_2018,Board_Committee_Participants_2018,Board_Committee_Participation_2017,Board_Committee_Participants_2017,Neighborhood_Organizations_2015,Neighborhood_Organizations_2014
50,4,36,21.9,673,20.6,633,18.6,560,55,458,14,172,65,635,13,114,46,392,70,728,36,332,0,0,0,0,1,0
51,31,216,37.3,544,38.1,527,36.2,495,63,778,20,307,73,994,18,200,45,454,79,838,42,351,2,4,3,4,2,2
52,3,25,29.6,431,30.3,442,17.6,415,48,297,9,83,60,383,6,30,31,136,75,476,27,130,0,0,0,0,0,0
53,2,20,29.4,1032,30.9,1078,35,1042,49,630,13,226,65,904,17,198,47,522,70,999,37,458,0,0,0,0,2,3
54,2,10,43.8,779,39.2,695,43.7,770,48,231,10,75,65,370,11,51,35,153,65,396,30,157,0,0,0,0,1,1
55,21,166,42.7,866,42.8,865,39.7,794,72,980,33,533,84,1170,30,377,61,734,83,1103,56,682,0,1,1,2,3,3
56,16,56,40.1,311,35,271,33.7,258,65,300,21,124,79,400,21,92,53,223,81,374,46,202,0,0,0,0,1,1
57,1,9,16.4,268,17.9,288,23.4,373,49,253,12,84,62,336,13,61,41,180,73,347,26,113,0,0,0,0,1,1
58,5,22,20.8,316,20.6,310,22.7,345,60,251,23,120,70,452,18,99,46,239,75,462,40,229,0,0,0,0,1,1
59,3,34,18.1,465,17,427,17.3,411,50,587,13,200,68,885,16,162,49,483,77,866,38,431,0,0,0,0,2,2
60,4,39,6,262,7,247,8.1,260,38,522,2,48,53,1106,1,19,18,249,58,700,15,113,0,0,0,0,0,0
61,8,33,27.2,327,27.5,330,28.8,345,50,296,12,103,57,402,11,74,32,224,66,436,34,199,0,0,0,0,0,0
62,,,0.1,3,0.1,4,0,1,32,645,1,29,62,1789,1,14,14,271,76,1030,8,34,0,1,0,1,1,1
64,5,107,14,632,14.3,640,15,649,50,966,9,252,66,1534,7,124,34,542,68,1234,28,421,0,1,0,0,0,0
65,6,55,5.3,90,3.3,72,1.6,29,48,312,8,76,62,485,4,26,31,184,72,486,26,126,1,2,1,2,0,0
66,8,98,5.7,156,4.4,121,5.6,144,52,474,12,150,62,660,9,77,37,287,73,642,31,248,0,1,0,1,2,2
67,2,5,2.7,32,1.8,21,5.5,31,57,207,8,38,73,309,5,15,39,102,80,177,36,51,0,0,0,0,0,0
68,9,106,23,569,24.2,600,25.8,639,58,831,15,304,70,1128,13,170,46,546,69,1030,35,500,0,0,0,0,0,0
69,32,237,19.8,253,19.3,216,18.9,275,73,690,38,377,85,710,42,324,67,468,86,656,58,418,0,0,0,0,1,1
70,3,15,72.8,937,63.3,808,68.6,863,51,592,21,301,71,779,25,252,56,555,77,912,48,506,2,3,2,2,3,3
