NPA,m5_2019,r5_2019,m5_2018,r5_2018,m5_2017,r5_2017,m5_2016,r5_2016,m5_2015,r5_2015,m5_2013,r5_2013,m5_2011,r5_2011,m30_2019,r30_2019,m30_2018,r30_2018,m30_2017,r30_2017,m30_2016,r30_2016,m30_2015,r30_2015,m30_2013,r30_2013,m30_2011,r30_2011,m6_2019,m6_2018,m6_2017,m6_2016,m6_2015,m6_2013,m6_2011,m7_2019,m7_2018,m7_2017,m7_2016,m7_2015,m7_2013,m7_2011,m53_2018,r53_2018,m53_2017,r53_2017,m53_2016,r53_2016,m53_2015,r53_2015,m53_2013,r53_2013,m8_2018,r8_2018,m8_2017,r8_2017,m8_2016,r8_2016,m8_2015,r8_2015,m8_2014,r8_2014,m8_2013,r8_2013,m8_2012,r8_2012,m8_2011,r8_2011,m9_2018,r9_2018,m9_2017,r9_2017,m9_2016,r9_2016,m9_2015,r9_2015,m9_2014,r9_2014,m9_2013,r9_2013,m9_2012,r9_2012,m9_2011,r9_2011,m83_2018,r83_2018,m83_2017,r83_2017,m83_2016,r83_2016,m83_2015,r83_2015,m83_2013,r83_2013,m83_2011,r83_2011,m69_2017,r69_2017,m69_2016,r69_2016,m69_2015,r69_2015,m69_2013,r69_2013,m69_2011,r69_2011,m76_2015,m76_2013,m68_2018,r68_2018,m68_2016,r68_2016,m68_2015,r68_2015,m68_2013,r68_2013,m68_2011,r68_2011,m82_2017,r82_2017,m82_2013,r82_2013,m29_2018,m29_moe_2018,m29_2017,m29_moe_2017,m31_2018,m31_moe_2018,m31_2017,m31_moe_2017,m40_2018,m40_moe_2018,m40_2017,m40_moe_2017
265,1.98,549,2,549,2,547,2,547,2,547,2,546,2,546,99.82,548,100,548,100,546,100,546,100,546,100,545,100,545,2084,2085,2092,2082,2086,2083,2080,25,24,23,22,21,19,17,16,85,14,75,15,80,12,68,13,70,0,0,0,0,0,0,0.72,2,0.36,1,0.36,1,0,0,0,0,2.17,6,1.45,4,1.81,5,0.72,2,1.09,3,1.09,3,0.36,1,3.26,9,0,0,0,0,0,0,1.83,1,0,0,0,0,0,0,0.2,1,2.2,12,1.1,6,0.9,5,163434,151278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,1,87,5,95,2,95,1,1278,387,1298,309
266,0.61,1146,0.6,1142,0.6,1109,0.6,1057,0.6,1056,0.6,1053,0.6,1057,100,1146,100,1142,100,1109,99,1050,100,1056,100,1053,100,1057,1957,1948,2000,1944,1934,1928,1921,24,23,22,22,21,19,18,22,248,20,223,21,217,19,201,17,175,0.48,9,0.21,4,1.92,36,1.39,26,0.11,2,0,0,0,0,0,0,0.86,16,0.37,7,0.43,8,0.75,14,0.43,8,0.27,5,0.16,3,0.32,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2,1.9,20,1.2,13,1.7,18,153313,152526,0,0,0.19,2,0.09,1,0,0,0,0,0,0,0,0,73,2,76,7,100,0,100,0,1395,85,1350,157
267,0.92,1834,0.9,1721,0.8,1646,0.8,1609,0.8,1598,0.8,1577,0.7,1472,100,1834,100,1721,100,1646,100,1609,100,1598,100,1577,100,1472,2262,2190,2153,2114,2092,2086,2033,16,16,15,15,14,12,11,18,312,19,305,18,296,16,253,13,203,2.31,46,4.73,94,1.76,35,1.81,36,0.75,15,1.11,22,3.27,65,2.46,49,0.55,11,0.65,13,1.06,21,1.21,24,0.45,9,0.45,9,0.6,12,1.31,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,2,0.9,15,1.2,19,1.5,22,192702,213961,0.17,3,0.12,2,0,0,0.06,1,0,0,0,0,0,0,75,1,80,7,93,2,95,3,1545,561,1618,135
268,2.71,696,2.7,696,2.7,696,2.7,695,2.7,696,2.7,696,2.7,695,88.79,618,89,618,89,618,89,617,89,618,89,618,89,617,1647,1636,1635,1638,1636,1629,1626,36,35,34,33,32,30,28,23,143,24,149,24,145,22,135,21,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.06,13,1.56,4,1.17,3,2.34,6,0.78,2,0.78,2,1.56,4,2.73,7,0,0,0,0,0,0,0,0,0,0,0,0,0.2,1,1.3,8,3.1,19,1,6,2.6,16,112400,108775,0.43,3,1.15,8,0.57,4,0.43,3,0.43,3,0,0,11,78,56,1,63,14,99,4,95,8,1032,98,1001,141
269,2.71,1239,2.7,1222,2.7,1210,2.6,1205,2.6,1205,2.6,1199,2.6,1200,55.13,683,55,666,54,654,54,649,54,649,54,643,54,644,2482,2444,2439,2446,2430,2398,2387,31,31,31,30,29,28,26,14,92,14,94,15,97,14,93,16,103,2.41,11,2.19,10,1.97,9,0.66,3,1.31,6,1.53,7,0,0,0,0,4.37,20,5.91,27,5.03,23,3.72,17,4.81,22,2.84,13,3.06,14,5.91,27,0,0,0,0,0,0,1.54,1,0,0,0,0,0,0,0.1,1,0.5,4,0.3,2,0.7,6,369660,301006,0,0,0.25,3,0.08,1,0,0,0.08,1,0,0,0,0,62,3,64,6,97,3,94,4,1177,69,1122,67
270,6.65,598,6.7,598,6.7,598,6.6,598,6.7,598,6.7,598,6.7,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.5,3,2.17,13,1.84,11,1.17,7,6.52,39,0,0,0,0,0,0,3,4,100,0,100,0,967,45,892,74
271,2.62,444,2.6,445,2.6,446,2.7,448,2.7,448,2.7,448,2.7,448,100,444,100,445,100,446,100,448,100,448,100,448,100,448,1426,1424,1424,1424,1423,1411,1411,49,48,47,46,45,43,41,30,132,31,137,30,133,28,126,27,119,0.59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95,5,4.73,8,5.32,9,4.73,8,1.77,3,1.77,3,2.95,5,4.73,8,2.25,1,0,0,6.7,3,0,0,0,0,0,0,0,0,0.7,3,2.2,10,2,9,1.1,5,77062,67214,0.9,4,2.9,13,3.13,14,2.46,11,1.34,6,0,0,0,0,58,1,62,11,100,0,100,0,996,122,1003,271
272,1.48,780,1.5,780,1.5,780,1.5,780,1.5,780,1.5,780,1.5,780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0.64,5,0.13,1,2.82,22,0.26,2,0.26,2,0,0,0,0,0,0,0,1,92,12,93,10,990,60,936,33
273,1.41,855,1.3,755,1.2,720,1.2,718,1.2,718,1.2,695,1.1,685,89.01,761,88,661,90,648,90,646,90,646,90,623,89,613,2032,1974,1965,1964,1964,1975,1974,13,14,13,12,11,9,7,26,175,24,158,24,153,22,141,18,114,10.08,61,8.93,54,3.64,22,0.33,2,0,0,57.69,349,0.66,4,0.5,3,0.83,5,0.17,1,0.5,3,0.66,4,0.17,1,0.5,3,0.17,1,0.33,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.7,12,3.9,28,2.4,17,3.5,24,136877,121603,0.13,1,0.14,1,0.28,2,0.14,1,0.15,1,0,0,0,0,65,1,62,15,100,0,89,5,1313,340,1289,292
274,4.59,554,4.6,554,4.6,554,4.6,554,4.6,554,4.6,554,4.6,554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,90,10,91,11,1216,106,1016,125
