NPA,m5_2019,r5_2019,m5_2018,r5_2018,m5_2017,r5_2017,m5_2016,r5_2016,m5_2015,r5_2015,m5_2013,r5_2013,m5_2011,r5_2011,m30_2019,r30_2019,m30_2018,r30_2018,m30_2017,r30_2017,m30_2016,r30_2016,m30_2015,r30_2015,m30_2013,r30_2013,m30_2011,r30_2011,m6_2019,m6_2018,m6_2017,m6_2016,m6_2015,m6_2013,m6_2011,m7_2019,m7_2018,m7_2017,m7_2016,m7_2015,m7_2013,m7_2011,m53_2018,r53_2018,m53_2017,r53_2017,m53_2016,r53_2016,m53_2015,r53_2015,m53_2013,r53_2013,m8_2018,r8_2018,m8_2017,r8_2017,m8_2016,r8_2016,m8_2015,r8_2015,m8_2014,r8_2014,m8_2013,r8_2013,m8_2012,r8_2012,m8_2011,r8_2011,m9_2018,r9_2018,m9_2017,r9_2017,m9_2016,r9_2016,m9_2015,r9_2015,m9_2014,r9_2014,m9_2013,r9_2013,m9_2012,r9_2012,m9_2011,r9_2011,m83_2018,r83_2018,m83_2017,r83_2017,m83_2016,r83_2016,m83_2015,r83_2015,m83_2013,r83_2013,m83_2011,r83_2011,m69_2017,r69_2017,m69_2016,r69_2016,m69_2015,r69_2015,m69_2013,r69_2013,m69_2011,r69_2011,m76_2015,m76_2013,m68_2018,r68_2018,m68_2016,r68_2016,m68_2015,r68_2015,m68_2013,r68_2013,m68_2011,r68_2011,m82_2017,r82_2017,m82_2013,r82_2013,m29_2018,m29_moe_2018,m29_2017,m29_moe_2017,m31_2018,m31_moe_2018,m31_2017,m31_moe_2017,m40_2018,m40_moe_2018,m40_2017,m40_moe_2017
NPA,Housing_Density_2019,Housing_Units_2019,Housing_Density_2018,Housing_Units_2018,Housing_Density_2017,Housing_Units_2017,Housing_Density_2016,Housing_Units_2016,Housing_Density_2015,Housing_Units_2015,Housing_Density_2013,Housing_Units_2013,Housing_Density_2011,Housing_Units_2011,Single_Family_Housing_2019,Single_Family_Units_2019,Single_Family_Housing_2018,Single_Family_Units_2018,Single_Family_Housing_2017,Single_Family_Units_2017,Single_Family_Housing_2016,Single_Family_Units_2016,Single_Family_Housing_2015,Single_Family_Units_2015,Single_Family_Housing_2013,Single_Family_Units_2013,Single_Family_Housing_2011,Single_Family_Units_2011,Housing_Size_2019,Housing_Size_2018,Housing_Size_2017,Housing_Size_2016,Housing_Size_2015,Housing_Size_2013,Housing_Size_2011,Housing_Age_2019,Housing_Age_2018,Housing_Age_2017,Housing_Age_2016,Housing_Age_2015,Housing_Age_2013,Housing_Age_2011,Rental_Houses_2018,Rental_Houses_Units_2018,Rental_Houses_2017,Rental_Houses_Units_2017,Rental_Houses_2016,Rental_Houses_Units_2016,Rental_Houses_2015,Rental_Houses_Units_2015,Rental_Houses_2013,Rental_Houses_Units_2013,New_Residential_2018,New_Residential_Permit_Units_2018,New_Residential_2017,New_Residential_Permit_Units_2017,New_Residential_2016,New_Residential_Permit_Units_2016,New_Residential_2015,New_Residential_Permit_Units_2015,New_Residential_2014,New_Residential_Permit_Units_2014,New_Residential_2013,New_Residential_Permit_Units_2013,New_Residential_2012,New_Residential_Permit_Units_2012,New_Residential_2011,New_Residential_Permit_Units_2011,Residential_Renovation_2018,Residential_Renovation_Permit_Units_2018,Residential_Renovation_2017,Residential_Renovation_Permit_Units_2017,Residential_Renovation_2016,Residential_Renovation_Permit_Units_2016,Residential_Renovation_2015,Residential_Renovation_Permit_Units_2015,Residential_Renovation_2014,Residential_Renovation_Permit_Units_2014,Residential_Renovation_2013,Residential_Renovation_Permit_Units_2013,Residential_Renovation_2012,Residential_Renovation_Permit_Units_2012,Residential_Renovation_2011,Residential_Renovation_Permit_Units_2011,Residential_Demolitions_2018,Residential_Demolition_Permit_Units_2018,Residential_Demolitions_2017,Residential_Demolition_Permit_Units_2017,Residential_Demolitions_2016,Residential_Demolition_Permit_Units_2016,Residential_Demolitions_2015,Residential_Demolition_Permit_Units_2015,Residential_Demolitions_2013,Residential_Demolition_Permit_Units_2013,Residential_Demolitions_2011,Residential_Demolition_Permit_Units_2011,Foreclosures_2017,Foreclosed_Units_2017,Foreclosures_2016,Foreclosed_Units_2016,Foreclosures_2015,Foreclosed_Units_2015,Foreclosures_2013,Foreclosed_Units_2013,Foreclosures_2011,Foreclosed_Units_2011,Home_Sales_Price_2015,Home_Sales_Price_2013,Housing_Violations_2018,Housing_Violations_Total_2018,Housing_Violations_2016,Housing_Violations_Total_2016,Housing_Violations_2015,Housing_Violations_Total_2015,Housing_Violations_2013,Housing_Violations_Total_2013,Housing_Violations_2011,Housing_Violations_Total_2011,Subsidized_Housing_2017,Subsidized_Housing_Units_2017,Subsidized_Housing_2013,Subsidized_Housing_Units_2013,Home_Ownership_2018,Home_Ownership_moe_2018,Home_Ownership_2017,Home_Ownership_moe_2017,Residential_Occupancy_2018,Residential_Occupancy_moe_2018,Residential_Occupancy_2017,Residential_Occupancy_moe_2017,Rental_Costs_2018,Rental_Costs_moe_2018,Rental_Costs_2017,Rental_Costs_moe_2017
2,2.62,1077,2.6,1083,2.6,1079,2.6,1079,2.6,1079,2.6,1081,2.6,1083,46.8,504,47,509,47,504,47,505,47,505,47,507,47,509,1587,1524,1501,1491,1473,1449,1446,70,70,70,69,68,66,64,26,130,27,138,29,145,25,126,26,134,0.97,4,1.22,5,0.97,4,0.24,1,0.49,2,0,0,0,0,0,0,4.63,19,5.6,23,7.06,29,7.3,30,4.62,19,3.89,16,2.67,11,2.67,11,11.79,6,1.98,1,3.96,2,1.98,1,0,0,0,0,0.2,1,0.3,2,1.1,7,0.9,6,1.1,7,217562,180860,0.09,1,1.11,12,0.93,10,1.2,13,0.65,7,7,80,7,80,32,0,33,6,90,5,93,5,977,,894,
3,7.08,8183,5.1,5931,4.6,5283,4.1,4730,4.1,4752,4.1,4746,3.8,4369,20.9,1710,30,1759,33,1723,38,1792,38,1792,38,1796,42,1822,2415,2267,2261,2177,2145,2088,2033,69,69,70,69,69,69,68,20,343,22,373,23,413,19,344,25,450,69.3,801,16.09,186,36.51,422,33.3,385,64.79,749,3.37,39,16,185,1.73,20,10.81,125,8.91,103,12.37,143,10.73,124,10.21,118,9.78,113,7.61,88,6.66,77,44.34,78,14.51,25,15.63,28,13.39,24,8.35,15,1.65,3,0,0,0.2,6,0.1,4,0.5,17,0.7,24,467716,391928,0.27,16,0.34,16,0.17,8,0.42,20,1.26,55,8,421,10,472,39,0,50,4,86,2,88,2,1360,,1286,
4,1.25,410,1.3,419,1.2,408,1.2,406,1.2,404,1.2,402,1.2,401,89.27,366,90,375,89,364,89,362,89,360,89,358,89,357,4010,3814,3820,3768,3728,3722,3660,43,44,44,44,44,42,40,10,39,10,35,9,34,9,34,10,34,0.91,3,1.21,4,1.21,4,1.82,6,1.52,5,0.3,1,0,0,1.22,4,6.07,20,9.42,31,13.06,43,6.99,23,7.29,24,5.77,19,4.56,15,8.2,27,18.67,7,8.24,3,13.81,5,5.56,2,2.79,1,5.6,2,0,0,0,0,0.2,1,0,0,0.3,1,810017,845392,0,0,0,0,0,0,0,0,0.25,1,0,0,0,0,94,2,97,2,97,2,98,4,-,**,,
5,2.06,345,1.9,318,1.9,322,2,326,2,331,2,329,2,332,52.75,182,58,183,58,187,59,191,59,196,59,194,59,197,1059,1056,1057,1056,1053,1061,1041,60,59,58,57,56,56,55,66,121,70,131,71,135,62,122,66,128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,1,2.39,4,0,0,0.6,1,2.39,4,1.79,3,0.6,1,2.39,4,1.2,2,0,0,10.7,2,31.41,6,25.51,5,0,0,0,0,0,0,1.1,2,2.2,4,0.6,1,6,11,,45200,3.46,11,12.58,41,19.94,66,9.42,31,7.83,26,0,0,0,0,16,1,11,7,88,13,90,9,678,33,631,25
6,1.98,798,2,808,2,813,2,816,2,817,2,820,2.1,825,83.21,664,83,674,84,679,84,682,84,683,84,686,84,691,1112,1084,1081,1078,1081,1079,1073,70,70,69,68,67,65,63,65,441,65,443,65,446,56,385,62,423,0,0,1.24,5,0.25,1,0,0,0,0,0,0,0,0,0,0,1.49,6,3.72,15,4.22,17,4.46,18,4.71,19,2.73,11,2.23,9,1.49,6,1.48,1,5.89,4,4.4,3,2.93,2,4.37,3,2.89,2,0,0,1.2,7,1,6,1.5,9,1.2,7,41056,55545,2.1,17,6.62,54,6.61,54,6.59,54,4.24,35,0,0,0,0,24,1,26,9,76,8,80,8,923,,834,
7,0.78,428,0.8,432,0.8,430,0.8,427,0.8,426,0.8,423,0.8,420,100,428,100,432,100,430,100,427,100,426,100,423,100,420,5366,5197,5215,5211,5157,5157,5105,37,37,36,36,36,34,33,5,22,6,26,6,25,6,26,6,27,1.1,6,0.73,4,0.73,4,0.36,2,0.73,4,0.36,2,0.36,2,0.73,4,6.75,37,5.66,31,6.57,36,5.84,32,8.94,49,6.02,33,7.12,39,3.47,19,18.52,8,2.33,1,9.37,4,4.69,2,2.36,1,4.76,2,0,0,0,0,0,0,0.2,1,0,0,1656526,1509529,0.23,1,0,0,0,0,0,0,0,0,0,0,0,0,92,1,100,0,92,9,89,3,-,**,,
8,1.86,1110,1.8,1080,1.7,1029,1.7,1036,1.7,1030,1.7,1024,1.5,901,39.64,440,40,437,42,434,43,441,42,435,43,437,48,429,1965,1917,1910,1901,1873,1870,1838,54,54,53,52,52,50,49,16,69,16,71,18,78,17,76,19,84,0,0,5.36,32,0,0,0.5,3,1.01,6,0.5,3,0.84,5,0.84,5,3.35,20,3.69,22,2.85,17,2.01,12,2.35,14,7.21,43,1.51,9,1.34,8,0,0,4.61,2,9.07,4,0,0,0,0,0,0,0,0,0.1,1,0,0,0.4,3,0.4,3,233714,229197,0.09,1,0,0,0.19,2,0.1,1,0.11,1,0,0,16,163,56,1,59,12,100,0,100,0,1326,212,1257,264
9,3.3,309,3.3,304,3.1,294,3.2,305,3.2,302,3.3,305,3.3,305,89,275,89,272,94,276,90,273,89,270,90,273,90,273,1723,1532,1417,1341,1254,1213,1198,53,58,61,62,64,63,61,27,73,32,88,35,96,35,95,40,108,11.76,11,13.89,13,12.83,12,11.7,11,8.51,8,2.13,2,2.13,2,0,0,19.24,18,13.89,13,16.03,15,16.03,15,17.1,16,7.48,7,8.55,8,6.41,6,29.41,8,25.36,7,14.65,4,7.41,2,0,0,0,0,0,0,1.1,3,1.2,3,0.4,1,1.2,3,260211,245591,0,0,0.66,2,0.66,2,0.98,3,1.31,4,0,0,0,0,51,1,51,16,85,15,84,14,1579,758,1203,620
10,3.07,1694,2.9,1597,2.9,1586,2.9,1592,2.9,1592,2.9,1595,2.9,1599,70.6,1196,75,1199,75,1188,75,1194,75,1194,75,1196,75,1201,1179,1119,1100,1085,1077,1068,1068,63,64,63,63,62,60,58,46,550,49,577,48,570,41,484,50,601,1.63,9,2.36,13,1.81,10,0.54,3,1.45,8,0,0,0,0,0.18,1,6.71,37,11.61,64,10.52,58,9.61,53,6.89,38,5.8,32,4.54,25,2.72,15,10.01,12,5.05,6,6.7,8,0,0,2.51,3,0,0,0,0,0.4,4,0.6,6,0.8,9,1.4,15,141766,107523,1.82,29,2.95,47,3.64,58,5.2,83,3.38,54,0,0,0,0,37,0,38,7,87,7,89,4,755,,761,
11,2.43,1238,2.5,1253,2.4,1231,2.4,1225,2.4,1225,2.4,1212,2.4,1209,64.22,795,65,812,64,788,64,784,64,784,64,771,64,768,2555,2378,2341,2245,2177,2117,2045,54,55,55,56,56,56,56,17,136,18,145,20,153,17,137,21,159,3.14,16,2.35,12,1.76,9,2.75,14,2.94,15,3.33,17,1.57,8,0.98,5,10.39,53,7.65,39,10.39,53,13.53,69,9.02,46,8.23,42,6.67,34,9.41,48,16.01,13,12.69,10,5.1,4,12.76,10,10.38,8,0,0,0,0,0,0,0.3,3,0.1,1,0.4,4,529879,455198,0.16,2,0.08,1,0.16,2,0.08,1,0.08,1,0,0,0,0,59,1,57,7,91,5,92,4,1061,,1044,
12,6.23,989,7.9,1257,7.9,1257,7.9,1257,7.9,1257,7.9,1257,7.9,1257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,0,0,0.4,3,0,0,1.7,12,4.2,30,73375,31576,0.8,10,1.27,16,1.75,22,1.19,15,1.11,14,0,0,0,0,11,0,15,4,90,6,91,6,894,,882,
13,4.01,1832,4,1832,4,1831,4,1830,4,1827,4,1810,4,1812,34.55,633,35,632,34,631,34,630,34,627,34,610,34,612,1371,1346,1344,1337,1326,1280,1277,60,59,58,58,57,56,54,22,139,23,145,23,144,23,146,25,150,0,0,0.22,1,0.22,1,0.22,1,1.75,8,2.63,12,0,0,17.07,78,6.56,30,4.81,22,4.81,22,6.12,28,4.59,21,3.28,15,2.62,12,3.28,15,4.75,3,0,0,0,0,1.59,1,1.64,1,0,0,0,0,0,0,0.8,5,0.5,3,0.3,2,220338,215811,0.38,7,0.44,8,0.55,10,0.72,13,0.39,7,0,0,0,0,32,0,37,5,91,6,87,7,898,,820,
14,3.69,1611,3.7,1611,3.7,1611,3.7,1613,3.7,1614,3.7,1614,3.7,1613,54.31,875,54,875,54,874,54,877,54,878,54,878,54,879,1887,1883,1886,1884,1881,1874,1874,22,21,20,19,18,16,14,27,238,26,225,25,219,23,200,19,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.69,3,0.92,4,2.75,12,1.38,6,1.38,6,1.15,5,2.29,10,0.69,3,0,0,0,0,0,0,0,0,1.14,1,0,0,0,0,0.3,3,1.5,13,2,17,1.5,13,147721,140580,0.19,3,0.37,6,0.37,6,0.43,7,0.19,3,0,0,0,0,30,0,35,7,97,2,95,19,1249,,1090,
15,1.23,848,1.2,848,1.2,848,1.2,838,1.2,833,1.2,825,1.2,825,95.4,809,95,809,95,809,95,799,95,794,95,786,95,786,2356,2349,2346,2338,2323,2320,2324,43,42,41,40,40,38,37,13,104,13,103,13,107,13,107,14,109,0.14,1,0,0,0.43,3,1.45,10,0.72,5,1.16,8,0.29,2,0.14,1,3.62,25,4.06,28,3.77,26,3.77,26,5.51,38,2.75,19,2.32,16,2.75,19,1.24,1,0,0,1.25,1,1.26,1,1.27,1,0,0,0,0,0.1,1,0.7,6,0.5,4,0.4,3,277405,251774,0.24,2,0.24,2,0.36,3,0.73,6,0.12,1,0,0,0,0,92,1,94,5,94,6,97,5,0,,1625,
16,2.92,2111,2.9,2112,2.9,2113,2.9,2114,2.9,2112,2.9,2112,2.9,2119,56.28,1188,56,1189,56,1190,56,1191,56,1189,56,1189,56,1196,1487,1475,1474,1473,1474,1471,1467,48,47,46,45,44,42,40,28,333,28,333,29,340,28,332,27,320,0,0,0,0,0,0,0,0,0,0,0,0,0.14,1,0,0,1.66,12,2.07,15,3.04,22,3.58,26,2.62,19,1.52,11,2.07,15,2.76,20,0,0,0,0,0.84,1,0,0,0,0,0,0,0.1,2,0.9,13,1.4,20,1.4,20,1.2,17,109167,107564,0.38,8,0.71,15,1.09,23,0.99,21,0.61,13,0,0,0,0,46,0,47,5,92,3,93,4,1005,,932,
17,2.76,1251,2.8,1250,2.8,1253,2.8,1253,2.8,1256,2.8,1256,2.8,1256,68.59,858,69,857,69,860,69,859,69,863,69,863,69,863,1623,1613,1612,1612,1610,1603,1602,48,47,46,45,44,42,40,25,217,26,222,27,228,26,221,25,213,0,0,0.22,1,0,0,0,0,0,0,0,0,0,0,0,0,1.54,7,1.76,8,2.43,11,2.87,13,1.76,8,1.54,7,1.32,6,0.88,4,0,0,3.49,3,1.16,1,1.16,1,0,0,1.16,1,0,0,0.4,3,1.2,10,1.3,11,1.8,15,686531,81929,0.16,2,2.15,27,1.59,20,1.43,18,1.11,14,14,180,1,16,47,0,49,6,93,7,91,7,776,,714,
18,2.78,1710,2.7,1684,2.7,1665,2.8,1693,2.8,1695,2.8,1691,2.6,1598,43.8,749,44,742,43,723,42,709,42,710,42,706,44,703,3316,3130,3108,3017,2945,2886,2851,39,40,42,43,43,43,42,8,61,12,86,14,100,13,93,15,104,1.63,10,6.01,37,4.06,25,3.58,22,4.72,29,1.63,10,0,0,0.49,3,7.64,47,10.4,64,10.57,65,9.43,58,8.62,53,6.83,42,5.04,31,4.23,26,10.78,8,31.81,23,15.51,11,11.27,8,2.83,2,2.84,2,0,0,0,0,0.1,1,0.4,3,1.2,9,667693,559354,0.24,4,0.83,14,0.65,11,1.06,18,0.31,5,0,0,0,0,42,0,44,7,95,4,86,6,1215,,1129,
19,2.13,1789,2.1,1770,2.1,1762,2.1,1762,2.1,1762,2.1,1759,2.1,1755,63.61,1138,64,1130,64,1122,64,1122,64,1122,64,1119,64,1115,2351,2314,2301,2298,2295,2286,2274,45,45,44,43,42,40,38,10,111,9,106,10,109,8,87,9,97,0.48,4,0.95,8,2.15,18,0,0,0.24,2,0.48,4,0.6,5,0,0,5.01,42,5.37,45,7.28,61,5.13,43,4.89,41,4.42,37,5.01,42,4.53,38,4.42,5,0,0,0,0,0,0,0,0,0.9,1,0.1,2,0.4,7,0.2,3,0.7,12,0.7,11,297964,232809,0.06,1,0.28,5,0.28,5,0.06,1,0.06,1,0,0,0,0,77,1,84,4,94,2,94,4,1313,,1186,
20,3.64,1452,3.6,1452,3.6,1452,3.6,1452,3.6,1452,3.6,1452,3.6,1453,52.34,760,52,760,52,760,52,760,52,760,52,760,52,761,1941,1938,1937,1936,1936,1935,1936,23,22,21,20,19,17,15,10,74,10,74,10,76,9,72,10,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26,13,1.75,7,5.01,20,4.01,16,3.01,12,1.5,6,3.51,14,1.25,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,2,0.4,4,0.8,9,0.5,6,206943,192852,0.07,1,0.07,1,0.07,1,0,0,0,0,0,0,0,0,72,0,71,4,100,0,100,0,1515,,1399,
21,1.52,1384,1.3,1209,1.3,1221,1.3,1224,1.3,1220,1.3,1216,1.3,1168,37.72,522,29,347,28,345,28,347,28,344,28,340,25,292,1118,1422,1423,1418,1399,1386,1340,37,38,37,36,36,36,39,37,130,39,134,40,138,38,129,39,133,0.33,3,0.33,3,0.11,1,0,0,1.21,11,0.44,4,4.71,43,0.22,2,0.44,4,0.88,8,0.66,6,0.44,4,0.77,7,0.33,3,0.88,8,0.55,5,8.65,3,5.8,2,8.65,3,0,0,0,0,3.42,1,0,0,1.5,6,3.4,13,0.3,1,2.1,7,183875,115917,0.17,2,0.9,11,1.97,24,0.9,11,0.51,6,9,115,9,115,14,1,18,7,95,3,99,3,813,38,754,53
22,5.92,1860,2.2,688,2.2,695,1.6,508,1.6,499,1.2,364,1.5,467,8.28,154,25,175,26,182,36,185,37,185,51,187,40,188,1222,1123,1123,1116,1108,1108,1109,65,72,71,70,70,70,68,47,82,51,93,50,93,47,87,51,96,108.19,340,132.06,415,0.32,1,51.91,163,1.91,6,57.96,182,0,0,0,0,2.23,7,2.23,7,0.32,1,1.59,5,1.91,6,1.59,5,0.95,3,1.27,4,108.57,19,16.48,3,5.41,1,5.41,1,0,0,10.64,2,0,0,0,0,0.8,2,1.3,3,2.2,5,180556,112591,2.18,15,1.57,8,1,5,1.92,7,1.71,8,0,0,0,0,33,2,42,8,89,6,82,7,1271,119,1215,90
23,1.96,550,2,550,2,549,2,550,2,550,2,550,2,549,36.73,202,35,190,35,191,35,191,35,191,35,191,35,191,1443,1471,1461,1460,1458,1460,1455,37,37,36,35,34,32,30,25,48,27,51,28,53,28,53,27,52,2.85,8,0,0,0.71,2,0,0,0,0,0,0,0.36,1,0,0,1.42,4,1.42,4,2.85,8,1.07,3,0.36,1,0.36,1,0,0,0.36,1,10.53,2,0,0,5.24,1,0,0,0,0,0,0,0.4,1,0,0,0.8,2,1.2,3,3.1,8,117045,107088,0.91,5,1.82,10,1.27,7,1.64,9,0.55,3,73,403,73,403,23,0,21,8,100,0,100,0,573,200,584,138
24,2.27,409,2.4,426,2.5,446,2.5,446,2.5,448,2.6,473,2.6,474,87.78,359,77,328,74,328,74,328,73,328,71,335,71,336,1501,1493,1491,1488,1484,1473,1468,62,62,61,60,59,57,55,20,65,20,66,20,66,18,59,21,71,0.56,1,0.56,1,0,0,0,0,0,0,0,0,0,0,0,0,12.22,22,9.44,17,11.66,21,7.21,13,5.55,10,3.88,7,4.99,9,5.55,10,6.1,2,24.39,8,0,0,3.05,1,0,0,0,0,0,0,0,0,1,3,0.6,2,0.6,2,212095,194133,0,0,0,0,0,0,0.21,1,0,0,0,0,0,0,49,1,51,12,89,7,92,10,899,111,883,91
25,1.79,1172,1.7,1138,1.7,1127,1.7,1118,1.7,1112,1.7,1111,1.7,1111,73.46,861,76,862,76,862,76,853,76,847,76,846,76,846,2803,2804,2802,2807,2789,2783,2782,31,30,29,28,27,25,23,9,74,9,78,8,72,9,73,8,68,0,0,5.51,36,1.68,11,1.38,9,1.53,10,0,0,0,0,0,0,5.82,38,4.75,31,6.43,42,3.83,25,3.37,22,1.99,13,2.45,16,3.37,22,1.16,1,0,0,0,0,0,0,0,0,0,0,0.1,1,0.1,1,0.5,5,0.5,6,0.7,8,260747,278157,0.09,1,0.09,1,0.18,2,0,0,0.18,2,0,0,0,0,85,1,86,5,93,3,96,3,1533,268,1389,230
26,0.96,1086,1,1081,1,1069,0.9,1068,1,1069,0.9,1066,0.9,1066,100,1086,100,1081,100,1069,100,1068,100,1069,100,1066,100,1066,2054,2047,2046,2044,2045,2045,2042,25,24,23,22,21,20,18,13,138,11,120,11,120,10,112,8,90,0.35,4,0.27,3,0.97,11,0.09,1,0,0,0.09,1,0.09,1,0,0,0.62,7,0.97,11,0.8,9,0.8,9,0.62,7,0.71,8,0.62,7,0.44,5,0,0,0,0,0,0,0.94,1,0,0,0,0,0.5,5,0.8,9,1.6,17,0.8,8,1.1,12,157647,152858,0,0,0,0,0.19,2,0,0,0,0,0,0,0,0,91,1,95,5,95,5,94,4,1534,269,1521,299
27,3.09,991,3.1,987,3.1,988,3.1,988,3.1,988,3.1,988,3.1,990,68.52,679,68,675,68,676,68,676,68,676,68,676,68,678,1556,1546,1546,1546,1544,1544,1544,21,21,20,19,18,16,14,18,120,18,122,17,116,16,106,15,104,0,0,0.31,1,0,0,0,0,0,0,0,0,0,0,0,0,2.81,9,1.25,4,2.18,7,1.25,4,0.31,1,0.94,3,0.62,2,2.81,9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,1,1.2,11,1.4,13,3.3,30,2.1,19,110555,109670,0,0,0,0,0,0,0,0,0.1,1,0,0,9,86,79,1,83,5,93,7,87,11,984,162,966,79
28,2.97,577,2.9,560,2.9,553,2.8,550,2.8,550,2.8,548,2.8,545,47.66,275,48,271,48,264,48,261,47,261,47,259,47,256,3059,3007,3010,2986,2867,2813,2723,48,47,49,50,50,51,50,17,45,19,49,20,51,18,48,19,48,2.06,4,3.61,7,2.06,4,3.61,7,3.61,7,1.03,2,2.06,4,3.09,6,8.25,16,11.34,22,6.7,13,12.88,25,6.7,13,8.25,16,7.22,14,7.22,14,3.69,1,7.58,2,15.33,4,15.33,4,0,0,3.91,1,0,0,0,0,0.2,1,0.2,1,0,0,768978,499582,0.18,1,0.18,1,0,0,0,0,0,0,0,0,0,0,81,1,90,10,91,4,90,5,1009,340,891,339
29,1.39,566,1.4,566,1.4,565,1.4,565,1.4,565,1.4,566,1.4,566,54.24,307,54,307,54,306,54,306,54,306,54,307,54,307,2862,2844,2843,2840,2835,2830,2826,36,35,34,33,32,30,28,9,29,9,27,10,30,10,30,9,28,0,0,0,0,0.24,1,0,0,0,0,0,0,0,0,0,0,2.45,10,3.18,13,2.94,12,4.16,17,2.45,10,3.43,14,2.2,9,2.94,12,3.26,1,0,0,0,0,0,0,0,0,0,0,0.2,1,0,0,0.4,2,0.7,4,0.5,3,224936,210130,0.18,1,0.18,1,0,0,0.18,1,0,0,0,0,0,0,80,1,82,5,99,4,99,3,1301,183,1315,140
30,2.43,1159,2.3,1099,2.3,1096,2.1,987,1.8,854,1.1,504,1.1,503,9.15,106,12,130,12,127,13,129,15,129,26,129,26,129,1079,869,879,866,866,866,866,55,55,54,53,52,47,45,78,101,75,95,75,97,57,73,76,98,0,0,2.51,12,8.8,42,0.21,1,20.34,97,0.84,4,92.45,441,0,0,0.84,4,0.21,1,0,0,0,0,1.68,8,0.84,4,0,0,0,0,15.38,2,0,0,0,0,0,0,0,0,0,0,0,0,2.5,2,0,0,0,0,0,0,,,0.73,8,1.22,12,1.52,13,3.77,19,0.8,4,36,392,78,394,5,0,3,3,89,9,94,6,-,**,287,190
31,1.79,688,1.8,689,1.8,681,1.8,677,1.8,676,1.8,678,1.8,677,84.59,582,85,583,84,575,84,571,84,570,84,570,84,569,3072,3061,3071,3064,3025,3020,3015,48,47,46,46,45,43,41,5,31,6,32,5,29,5,30,5,28,0,0,0.26,1,0.52,2,2.08,8,0.52,2,0,0,0,0,0,0,8.58,33,12.48,48,9.1,35,11.7,45,6.5,25,7.02,27,8.84,34,5.46,21,0,0,0,0,1.75,1,0,0,0,0,0,0,0.2,1,0.1,1,0,0,0.3,2,0.2,1,455557,423941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,1,92,4,99,2,99,3,1761,152,,
32,2.53,220,2.5,220,2.5,220,2.5,220,2.5,220,2.5,220,2.5,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.61,4,0,0,0,0,0,0,0,0,0,0,3.45,3,0,0,,,,,,,,,,,,,0,0,1.8,4,0,0,1.8,4,1.4,3,110727,92033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,2,72,15,100,0,100,0,943,120,969,137
33,2.42,627,2.4,628,2.4,628,2.4,628,2.4,628,2.4,623,2.4,612,6.54,41,7,42,7,42,7,42,7,42,6,37,4,26,1924,1908,1908,1908,1908,2105,1736,36,36,35,34,33,35,47,29,12,26,11,26,11,29,12,38,14,0,0,0,0,0,0,0,0,0,0,1.54,4,2.32,6,1.93,5,0,0,0,0,0.39,1,0,0,0,0,1.16,3,0,0,0,0,47.62,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,137708,0.16,1,0,0,0,0,0.32,2,0.49,3,0,0,0,0,5,0,6,8,100,0,100,0,1137,54,1084,49
34,1.33,1238,1,911,0.9,835,0.9,824,0.9,813,0.9,809,0.9,789,86.91,1076,85,775,84,699,83,685,83,677,83,673,83,653,1554,1367,1323,1305,1300,1293,1268,29,38,41,41,41,39,39,31,239,35,247,36,248,36,244,35,238,13.36,124,21.76,202,0.97,9,2.59,24,0.86,8,0.75,7,1.62,15,1.51,14,1.08,10,0.54,5,1.08,10,1.08,10,1.29,12,0.86,8,0.75,7,1.08,10,1.29,1,2.86,2,1.46,1,0,0,0,0,0,0,0,0,2.4,20,1.7,14,2.1,17,2.8,22,82783,84784,0.77,7,5.1,42,3.08,25,2.1,17,1.14,9,0,0,0,0,68,1,75,15,100,0,100,0,649,397,606,363
