NPA,m33_2018,m33_moe_2018,m33_2017,m33_moe_2017,m34_2018,m34_2017,m34_2016,m34_2015,m34_2013,m34_2011,m35_2018,m35_2017,m35_2016,m35_2015,m35_2013,m35_2011,m70_2015,r70_2015,m36_2018,r36_2018,m36_2017,r36_2017,m36_2016,r36_2016,m36_2015,r36_2015,m36_2013,r36_2013,m36_2011,r36_2011,m44_2015,r44_2015,m44_2014,r44_2014,m44_2013,r44_2013
NPA,Long_Commute_2018,Long_Commute_moe_2018,Long_Commute_2017,Long_Commute_moe_2017,Bicycle_Friendliness_2018,Bicycle_Friendliness_2017,Bicycle_Friendliness_2016,Bicycle_Friendliness_2015,Bicycle_Friendliness_2013,Bicycle_Friendliness_2011,Street_Connectivity_2018,Street_Connectivity_2017,Street_Connectivity_2016,Street_Connectivity_2015,Street_Connectivity_2013,Street_Connectivity_2011,Sidewalk_Availability_2015,Sidewalk_Miles_2015,Transit_Proximity_2018,Transit_Proximate_Units_2018,Transit_Proximity_2017,Transit_Proximate_Units_2017,Transit_Proximity_2016,Transit_Proximate_Units_2016,Transit_Proximity_2015,Transit_Proximate_Units_2015,Transit_Proximity_2013,Transit_Proximate_Units_2013,Transit_Proximity_2011,Transit_Proximate_Units_2011,Transit_Ridership_2015,Transit_Ridership_Total_2015,Transit_Ridership_2014,Transit_Ridership_Total_2014,Transit_Ridership_2013,Transit_Ridership_Total_2013
302,43,7,39,7,1.4,1.4,1.4,1.4,1.4,1.4,1.04,1.04,1.04,1.04,1.06,1.06,30.1,2.9,95.19,1148,95.19,1147,95.19,1147,95.19,1147,95.19,1147,95.27,1148,28,169,35,211,31,186
303,51,12,51,12,1.6,1.6,1.7,1.6,1.7,1.6,1.26,1.26,1.26,1.26,1.29,1.29,55.7,3.1,100,960,100,898,100,898,100,898,100,898,100,898,22,108,22,111,16,82
304,54,8,56,12,1.8,1.8,1.5,1.6,1.6,1.6,0.94,0.94,0.94,1,1,1,89.1,1.5,100,378,100,378,100,378,100,378,100,378,100,378,151,757,105,419,391,1954
305,64,22,58,18,1.4,1.4,1.5,1.4,1.4,1.4,1.18,1.16,1.16,1.16,1.16,1.16,19.9,1.4,41.08,168,41.08,168,41.18,168,40.98,168,40.98,168,41.38,168,,,,,,
306,25,20,31,20,1.2,1.2,1.3,1.2,1.2,1.3,1.19,1.17,1.17,1.17,1.15,1.23,42.6,4.5,100,486,100,411,100,412,100,356,100,360,100,434,45,1180,65,1176,72,1288
307,41,9,39,10,1.5,1.5,1.5,1.5,1.5,1.4,1.2,1.17,1.17,1.17,1.19,1.16,46.7,5.4,99.86,1440,99.86,1440,99.86,1440,99.82,1099,99.82,1101,99.82,1101,19,132,20,159,15,123
308,76,4,79,11,1.3,1.3,1.1,1.1,1.1,1.1,1.03,1.03,1.03,1.03,1.05,1.05,58.7,3.3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
309,69,11,56,13,1.4,1.4,1.5,1.4,1.5,1.5,1.05,1.05,1.05,1.08,1.14,1.16,27.3,3.0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
310,63,5,67,8,1.6,1.6,1.6,1.6,1.6,1.6,1.12,1.12,1.12,1.12,1.14,1.14,47.2,5.1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
311,36,16,37,16,1.8,1.8,1.7,1.8,1.9,1.9,1.43,1.43,1.43,1.43,1.44,1.44,32.0,5.0,100,569,100,571,100,573,100,577,100,581,100,593,32,512,29,492,27,519
312,56,9,71,17,1.7,1.7,1.6,1.6,1.6,1.6,1.24,1.24,1.24,1.24,1.24,1.24,43.0,2.5,100,623,100,622,100,622,100,623,100,624,100,624,152,1518,173,1727,136,1359
313,67,11,62,16,1.3,1.3,1.3,1.3,1.3,1.3,1.01,1.01,1.01,1.03,1.03,1.04,21.4,1.9,99.3,571,99.13,570,99.13,570,99.13,570,100,575,100,575,30,455,34,538,54,647
314,72,13,60,8,1.9,1.9,2,1.9,1.9,2,1.17,1.17,1.17,1.17,1.17,1.19,49.7,3.5,100,936,100,931,100,933,100,948,100,948,100,950,144,862,153,920,150,901
315,42,8,31,8,1.6,1.6,1.6,1.6,1.6,1.6,1.27,1.28,1.29,1.3,1.32,1.32,58.6,4.2,100,994,100,402,100,397,100,396,100,395,100,320,50,900,47,937,35,815
316,66,9,67,7,1.6,1.6,1.6,1.6,1.5,1.8,1.19,1.19,1.19,1.19,1.19,1.31,52.5,4.3,93.03,1348,92.96,1347,100,1449,100,1449,100,1449,100,1449,67,607,76,683,134,1205
317,30,13,40,14,1.4,1.4,1.4,1.4,1.6,1.4,1.12,1.12,1.12,1.12,1.21,1.21,52.6,2.5,100,308,100,308,100,308,100,305,100,305,100,309,13,63,14,68,15,74
318,68,4,74,3,1.6,1.6,1.5,1.6,1.6,1.6,1.13,1.13,1.12,1.12,1.12,1.13,39.4,3.9,30.96,239,30.87,238,23.09,160,23.12,160,23.12,160,23.38,162,31,62,39,78,44,88
319,56,12,57,9,1.5,1.5,1.5,1.5,1.5,1.5,1.14,1.14,1.14,1.14,1.16,1.15,19.8,2.9,40.13,433,40.06,433,40.15,434,39.91,433,77.72,844,76.35,775,25,123,27,191,27,192
