NPA,r1_2015,r1_2013,m47_2018,r47_2018,m47_2017,r47_2017,m47_2016,r47_2016,m47_2015,r47_2015,m47_2013,r47_2013,m47_2010,r47_2010,m47_2000,r47_2000,m2_2018,m2_moe_2018,m2_2017,m2_moe_2017,m12_2018,m12_moe_2018,m12_2017,m12_moe_2017,m13_2018,m13_moe_2018,m13_2017,m13_moe_2017,m14_2018,m14_moe_2018,m14_2017,m14_moe_2017,m14_2010,m14_2000,m15_2018,m15_moe_2018,m15_2017,m15_moe_2017,m15_2010,m15_2000,m16_2018,m16_moe_2018,m16_2017,m16_moe_2017,m16_2010,m16_2000,m17_2018,m17_moe_2018,m17_2017,m17_moe_2017,m17_2010,m17_2000,m18_2018,m18_moe_2018,m18_2017,m18_moe_2017,m18_2010,m18_2000,m11_2018,r11_2018,m11_2017,r11_2017,m11_2016,r11_2016,m11_2015,r11_2015,m11_2013,r11_2013,m11_2011,r11_2011
NPA,Area,Area,Population_Density_2018,Population _2018,Population_Density_2017,Population _2017,Population_Density_2016,Population _2016,Population_Density_2015,Population _2015,Population_Density_2013,Population _2013,Population_Density_2010,Population_2010,Population_Density_2000,Population _2000,Age_of_Residents_2018,Age_of_Residents_moe_2018,Age_of_Residents_2017,Age_of_Residents_moe_2017,Youth_Population_2018,Youth_Population_moe_2018,Youth_Population_2017,Youth_Population_moe_2017,Older_Adult_Population_2018,Older_Adult_Population_moe_2018,Older_Adult_Population_2017,Older_Adult_Population_moe_2017,White_Population_2018,White_Population_moe_2018,White_Population_2017,White_Population_moe_2017,White_Population_2010,White_Population_2000,Black_Population_2018,Black_Population_moe_2018,Black_Population_2017,Black_Population_moe_2017,Black_Population_2010,Black_Population_2000,Asian_Population_2018,Asian_Population_moe_2018,Asian_Population_2017,Asian_Population_moe_2017,Asian_Population_2010,Asian_Population_2000,All_Other_Races_2018,All_Other_Races_moe_2018,All_Other_Races_2017,All_Other_Races_moe_2017,All_Other_Races_2010,All_Other_Races_2000,Hispanic_Latino_2018,Hispanic_Latino_moe_2018,Hispanic_Latino_2017,Hispanic_Latino_moe_2017,Hispanic_Latino_2010,Hispanic_Latino_2000,Vacant_Land_2018,Vacant_Land_Area_2018,Vacant_Land_2017,Vacant_Land_Area_2017,Vacant_Land_2016,Vacant_Land_Area_2016,Vacant_Land_2015,Vacant_Land_Area_2015,Vacant_Land_2013,Vacant_Land_Area_2013,Vacant_Land_2011,Vacant_Land_Area_2011
11,510,510,5,2695,5,2651,5,2642,5,2623,5,2563,5,2357,4,2084,37,,35,,25,5,25,6,9,4,8,3,93,6,96,4,91.5,95.3,1,1,1,1,2.5,1.6,2,2,0,1,2.5,0.9,0,2,2,4,2,0.8,2,3,1,2,1.5,1.5,3.8,19,3.8,19,3.8,19,3.8,19,3.8,19,3.8,19
12,159,159,17,2739,17,2731,17,2723,17,2677,17,2636,16,2496,15,2426,27,,74,,33,4,34,3,3,2,4,2,14,4,13,3,14.5,41.6,37,10,40,10,46.7,28.6,4,2,6,7,5.7,7.6,0,2,4,5,3.2,2.9,43,11,37,11,29.9,19.3,1.2,2,1.2,2,1.2,2,1.2,2,1.2,2,1.2,2
13,457,457,8,3559,8,3599,8,3590,8,3583,8,3551,7,3348,8,3456,33,,35,,15,5,14,5,7,3,10,4,54,4,47,1,47.4,56.7,16,8,18,9,21.6,13.6,5,2,10,10,2.4,4.3,0,2,2,4,2.1,2.4,23,12,23,11,26.6,23,1.3,6,1.3,6,1.3,6,1.3,6,1.3,6,1.6,7
14,436,436,9,3761,9,3769,9,3779,9,3784,9,3741,8,3669,6,2654,35,,33,,17,6,15,6,5,3,6,3,29,9,30,9,27.8,60.6,52,11,49,12,44,27.1,15,2,15,8,16.5,6,4,2,6,10,3.5,2.9,0,0,0,1,8.1,3.4,6.1,27,6.1,27,6.1,27,6.1,27,6.1,27,6.1,27
15,690,690,3,2185,3,2179,3,2154,3,2141,3,2064,3,2010,3,2118,50,,50,,21,7,24,5,26,6,25,5,78,7,81,16,79.4,86.7,5,8,8,8,8.8,5.4,15,2,8,8,4.2,5.2,0,2,0,3,2.4,1,3,4,3,5,5.1,1.7,4.2,29,4.2,29,4.2,29,4.2,29,3.6,25,3.6,25
16,724,725,7,4739,7,4757,7,4759,7,4750,6,4647,6,4587,5,3959,32,,31,,25,4,26,4,11,2,11,2,29,5,31,4,31.6,56.7,39,8,45,8,44.6,29.4,0,1,0,0,3.1,5.3,0,1,4,4,3,2.7,28,8,20,8,17.6,6,2.1,15,2.1,15,2.1,15,2.1,15,2.1,15,2.1,15
17,454,454,7,3392,7,3372,7,3375,7,3387,7,3362,7,3047,7,3194,38,,39,,23,4,22,5,15,3,15,3,5,3,6,3,7,15.4,69,9,72,7,73.9,73.9,10,1,10,7,3.3,6.4,0,2,1,3,2.3,1.8,14,5,11,7,13.5,2.6,2.2,10,2.2,10,2.2,10,1.7,8,1.7,8,1.7,8
18,615,615,5,3372,5,3281,5,3361,6,3433,5,3234,5,2968,3,2125,38,,38,,24,4,23,4,9,4,11,4,87,8,88,9,83.6,81.8,4,3,4,4,10,13.1,4,2,3,3,2.2,1.1,0,2,3,4,1.6,1.1,5,3,2,2,2.6,2.9,8,49,8,49,8,49,9,55,9,55,9,55
19,838,838,4,3654,4,3658,4,3658,4,3654,4,3596,4,3480,5,3805,44,,45,,16,3,17,4,20,3,21,3,89,1,87,14,88.2,93,2,2,2,2,4.1,1.8,1,2,1,1,2,2,0,2,1,2,1.8,1.4,7,7,9,8,3.9,1.7,2.6,22,2.6,22,2.6,22,2.6,22,2.9,24,2.9,24
20,399,399,8,3146,8,3146,8,3145,8,3145,8,3145,7,2975,3,1123,38,,37,,24,6,22,6,19,4,19,4,67,5,66,4,76.9,87,6,4,13,11,5.7,4,11,1,6,5,6.7,3.8,0,2,4,6,2.2,1.4,12,10,10,9,8.6,3.8,4.2,17,4,16,4,16,4.2,17,4,16,4,16
21,912,912,3,2976,3,3009,3,3005,3,2984,3,2890,3,2622,2,2177,30,3,30,3,33,8,35,7,3,2,5,2,9,3,9,3,11.7,15.6,57,6,61,12,54.6,57.8,1,2,1,2,2.7,0.4,0,2,2,4,1.9,1.8,32,9,26,10,29.1,24.4,9.7,88,8.1,74,8.1,74,9.7,88,9.1,83,9.1,83
22,314,314,4,1328,4,1345,3,984,3,961,3,897,2,736,2,667,32,1,32,3,11,4,11,4,6,5,6,4,49,7,40,8,37.9,3.9,41,12,53,12,49.9,68.7,5,3,2,2,8.2,13.6,0,3,1,5,1.5,1.5,4,3,3,2,2.6,12.3,8.6,27,8.6,27,8.6,27,8.6,27,11.7,37,11.7,37
23,281,281,4,1116,4,1111,4,1113,4,1112,4,1081,4,1100,5,1413,38,14,33,23,16,11,19,10,21,9,18,8,14,7,31,12,40.3,57.2,46,11,42,8,44.3,32.4,11,2,9,11,1.7,3,0,3,8,14,4.5,1.5,13,13,9,10,9.3,5.9,14.5,41,14.5,41,14.5,41,14.5,41,14.5,41,14.5,41
24,180,180,6,1056,6,1129,6,1125,6,1129,7,1201,6,1129,7,1231,26,4,25,1,27,8,35,9,10,4,10,4,56,3,45,11,47.4,52.9,4,4,3,4,5.5,10.5,2,3,2,3,2.2,7.9,0,3,0,4,0.9,1.5,39,23,49,18,44,27.3,3.4,6,3.4,6,3.5,6,3.5,6,3.5,6,3.5,6
25,653,653,5,3027,5,2998,5,2974,5,2958,5,2958,4,2829,4,2604,41,3,42,3,26,5,25,5,11,3,12,3,81,5,83,6,85.9,91.1,8,6,6,5,3.8,3,6,2,4,3,4.7,3.4,0,2,2,3,1.7,0.8,3,3,5,5,3.8,1.7,4.5,30,4.5,30,4.5,29,4.5,29,4.5,29,3,20
26,1129,1128,3,3131,3,3096,3,3094,3,3096,3,3088,3,2980,3,2841,38,6,39,5,25,5,23,5,10,3,10,3,54,5,58,9,56.4,74.2,34,10,25,8,31.5,20.1,1,2,1,1,1.5,2.4,3,2,6,6,3.4,1.2,5,4,9,6,7.2,2.2,21.8,246,21.6,244,21.8,246,21.8,246,21.8,246,21.8,246
27,321,321,8,2724,8,2721,8,2716,8,2719,8,2719,8,2656,4,1187,38,6,37,7,22,7,20,6,10,3,12,3,29,6,32,2,36.9,68.5,31,11,23,11,32.1,17.6,7,2,8,5,3.9,4.1,2,2,6,8,2.6,2.9,28,8,30,15,24.6,6.9,6.4,21,6.4,21,6.4,21,6.4,21,6.5,21,6.5,21
28,194,194,6,1204,6,1170,6,1173,6,1197,6,1176,5,946,4,763,47,9,49,9,22,9,21,11,29,8,24,7,93,6,99,5,95.7,95.5,0,1,0,1,1.8,1.8,0,3,0,1,0.7,1.3,0,3,1,6,0.3,1.1,7,9,0,1,1.5,0.3,0.2,0,0.2,0,0.2,0,1.2,2,1.2,2,1.2,2
29,408,408,3,1240,3,1237,3,1237,3,1237,3,1240,3,1172,3,1076,46,7,43,4,19,5,21,5,24,6,20,6,87,12,78,11,88,92.8,1,1,1,1,2.9,2.2,6,2,5,5,2.9,1.6,0,3,2,5,1.6,1,3,3,14,18,4.6,2.4,3.2,13,3.2,13,3.2,13,3.2,13,3.2,13,3.2,13
30,477,477,6,2707,6,2695,5,2420,4,2091,3,1235,3,1204,3,1231,26,2,25,2,36,10,39,10,2,2,1,2,19,6,19,7,1.9,3.7,74,11,80,9,91.6,93.9,0,2,0,1,0.2,0,0,2,0,3,1.3,1.4,6,9,1,1,5,1,3.6,17,3.6,17,3.6,17,3.6,17,3.6,17,7.4,35
31,385,385,4,1705,4,1680,4,1674,4,1666,4,1650,4,1599,4,1631,47,6,47,3,21,5,19,4,19,4,17,4,86,9,84,17,94.8,97.1,12,14,13,12,1.3,1.3,2,2,4,4,1.3,0.9,0,2,0,3,1.3,0.5,0,1,0,1,1.4,0.3,1.1,4,1.1,4,1.1,4,1.7,6,1.7,6,1.7,6
32,87,87,4,337,4,337,4,337,4,337,4,337,4,317,3,295,57,19,46,12,8,13,7,8,25,17,24,16,79,17,73,23,77.6,91.9,11,11,13,12,9.5,5.1,0,6,0,4,0.6,0,0,6,8,21,3.2,2.4,6,8,6,6,9.1,0.7,0,0,0,0,0,0,0,0,0,0,0,0
33,259,259,5,1349,5,1350,5,1347,5,1347,5,1320,5,1259,4,1093,31,2,31,1,21,10,25,10,5,6,5,6,6,3,11,6,14.1,55.4,41,27,34,24,29.6,29.3,36,11,32,16,44.6,10.4,5,2,10,17,4.5,2,10,9,13,12,7.1,2.8,15.9,41,15.9,41,15.9,41,15.9,41,15.9,41,15.9,41
34,928,928,3,2455,2,2257,2,2217,2,2177,2,2098,2,1787,2,1703,49,3,49,4,15,7,17,8,14,4,9,4,56,22,54,25,32.3,54.5,30,11,33,12,47.4,37.5,0,2,0,1,3.4,2.2,0,2,0,2,2.7,1.8,11,13,13,11,14.2,4,41.1,382,41.1,382,41.1,382,29.4,273,29.4,273,29.4,273
35,2279,2279,1,2481,1,2245,1,2126,1,1900,1,1673,1,1657,1,1156,38,4,40,5,20,5,20,6,14,3,15,3,59,5,60,4,62.8,92.4,26,7,26,6,20.4,3.5,4,2,2,3,2.8,1.5,0,2,1,4,2.3,1.4,10,10,10,9,11.8,1.3,45,1025,45,1025,45,1025,45,1025,47.9,1091,47.9,1091
36,594,594,5,3088,5,3076,5,2858,5,2854,4,2408,4,2268,4,2455,37,2,37,4,16,5,16,4,17,3,18,3,78,7,76,6,79.5,86.7,10,6,10,5,8.3,7.8,2,2,3,2,2.1,2.1,1,2,7,7,3,1.5,2,1,4,3,7.1,1.9,4.6,27,4.4,26,3.9,23,4.6,27,4.2,25,8.3,49
37,243,243,8,1931,8,1889,8,1857,8,1847,7,1788,7,1696,9,2308,30,2,29,2,23,5,26,5,5,2,6,2,15,5,14,5,10.7,2,69,7,71,8,78.7,87.6,0,2,0,0,4,5.2,0,2,15,12,3.2,1.2,1,1,1,1,3.4,4.1,9.7,24,9.7,24,9.7,24,9.7,24,9.7,24,9.6,23
38,1875,1887,1,2385,1,2397,1,2397,1,2397,1,2397,1,2319,1,2296,37,5,37,6,25,7,27,6,10,3,10,3,59,2,61,2,66.7,79.6,30,15,27,15,21.6,11.8,3,2,3,2,4,5.4,0,2,4,5,2.4,1.1,5,3,5,3,5.3,2.1,13,243,13,243,13,243,12.9,243,12.9,243,11.6,218
39,669,669,4,2950,4,2938,4,2865,4,2801,4,2716,4,2494,2,1447,34,5,32,4,24,7,28,6,10,4,9,3,30,6,31,5,27.4,62.3,42,14,38,12,47.3,30.6,3,2,6,5,2.4,2.2,0,2,1,3,2.9,1.6,22,14,24,16,20,3.3,16.3,109,16.3,109,16.3,109,16.3,109,16.3,109,16.3,109
40,348,348,9,3289,9,3220,9,3196,9,3171,9,3128,8,2868,3,1144,31,4,29,3,33,6,37,4,8,3,5,2,10,5,7,3,10.3,28,47,12,52,10,58.8,58.3,0,2,0,0,2.3,3.6,0,2,1,3,2.6,1.1,41,14,39,16,26.1,9.1,5.4,19,5.4,19,5.4,19,5.4,19,5.5,19,5.5,19
41,313,313,5,1571,5,1571,5,1569,5,1569,5,1569,5,1442,5,1588,36,5,34,4,24,8,27,8,10,3,10,3,73,6,65,3,75,84.3,11,10,10,7,11.2,7.9,0,3,0,1,3,1.4,0,3,5,9,2.4,2,14,13,20,11,8.5,4.5,3.3,10,3.3,10,3.3,10,3.3,10,3.3,10,3.3,10
42,352,352,7,2537,7,2529,7,2535,7,2526,7,2494,7,2331,7,2475,31,2,32,3,26,5,26,5,11,3,12,3,79,8,85,6,84.3,90.3,3,3,3,3,7.3,3.4,10,2,7,5,2.7,1.9,0,2,2,3,1.7,0.7,7,7,3,3,3.9,3.8,0,0,0,0,0,0,8.1,29,8.1,29,8.1,29
43,358,358,4,1560,4,1566,4,1569,4,1566,4,1514,4,1410,4,1414,46,11,40,9,23,8,24,7,8,6,7,4,84,7,72,28,81,87.8,7,7,22,20,7.4,3.8,0,3,0,1,3.1,3.7,0,3,1,4,1.3,1.1,7,10,5,6,7.2,3.7,1.3,5,1.3,5,1.4,5,6.2,22,6.2,22,6.2,22
44,223,223,4,952,4,933,4,920,4,899,4,876,4,819,3,731,30,5,29,3,13,7,18,13,5,5,5,5,79,14,77,23,74.1,90.3,0,1,0,1,10.1,3.2,6,3,7,8,3.9,3.6,0,3,2,6,3.8,0.8,15,17,14,17,8.1,2.2,8.5,19,8.5,19,8.5,19,12.2,27,12.2,27,12.2,27
45,965,952,5,4783,4,3749,4,3442,3,3315,3,3092,3,2617,0,171,33,2,34,1,31,4,33,4,4,2,4,2,40,3,43,5,48.6,97.2,33,11,31,8,22.4,0.1,11,1,12,3,13.2,0.5,0,2,3,4,3.1,1,13,4,11,2,12.7,1.5,35.6,343,35.6,343,35.6,343,36,343,35.4,337,42.8,407
46,287,287,9,2476,9,2476,9,2475,9,2471,9,2476,8,2238,6,1746,31,4,28,4,20,6,17,5,13,5,10,4,32,8,40,7,36.2,54.4,47,14,47,13,43.4,32.1,2,2,7,8,3.8,6.1,0,2,1,2,3.1,2.4,19,4,6,4,13.5,5,1.2,4,1.2,4,1.2,3,1.2,3,1.2,3,1.2,3
47,139,139,8,1112,8,1091,8,1170,8,1174,8,1170,7,1002,8,1080,35,6,37,6,14,10,15,8,15,7,19,6,41,5,42,5,72.7,84.9,20,21,18,17,8.6,5.6,37,11,37,23,12.8,7.1,0,3,1,6,1.4,0.7,2,2,2,2,4.6,1.8,1.9,3,1.9,3,1.8,3,1.8,3,1.8,3,1.8,3
48,1896,1896,1,1800,1,1805,1,1822,1,1834,1,1815,1,1761,0,585,33,8,37,2,34,6,33,7,9,3,11,3,21,6,25,6,27.6,75.4,32,13,31,10,38.2,18.3,6,2,7,5,2.4,1.7,0,2,2,5,2,1.5,39,9,35,4,29.7,3.1,16.4,311,16.4,311,16.4,311,16.4,311,16.4,311,16.4,311
49,1204,1204,2,2683,2,2670,2,2663,2,2627,2,2573,2,2405,1,1228,41,4,41,5,28,9,25,8,9,5,10,3,34,11,36,18,39.9,88.8,60,14,51,24,45.3,8.4,3,2,9,5,3.1,1.3,1,2,4,7,4.3,0.4,0,1,0,1,7.4,1.1,12.6,151,12.6,151,12.6,151,12.6,151,12.6,151,12.6,151
50,268,268,12,3086,12,3090,11,3071,12,3078,11,3016,11,2823,9,2493,29,2,31,4,33,1,32,3,8,3,8,3,8,4,14,3,13.8,31.1,38,6,37,12,38.6,55.9,33,8,25,20,8.4,1.5,2,2,5,7,1.9,3.3,16,10,20,11,37.3,8.2,1.2,3,1.2,3,1.2,3,1.2,3,1.2,3,1.2,3
