NPA,m28_2018,r28_2018,m28_2017,r28_2017,m28_2016,r28_2016,m45_2018,r45_2018,m45_2017,r45_2017,m45_2016,r45_2016,m45_2015,r45_2015,m45_2014,r45_2014,m45_2011,r45_2011,m46_2018,r46_2018,m46_2017,r46_2017,m46_2016,r46_2016,m46_2015,r46_2015,m46_2013,r46_2013,m46_2011,r46_2011,m74_2018,r74_2018,m74_2017,r74_2017,m74_2016,r74_2016,m74_2015,r74_2015,m74_2013,r74_2013,m54_2016,m54_2014,m54_2012,m54_2010,m55_2016,m55_2014,m55_2012,m56_2016,m56_2014,m56_2012,m57_2016,m57_2014,m57_2012,m57_2010,m81_2017,m81_2015,m81_2014
NPA,Low_Cost_Healthcare_Proximity_2018,Low_Cost_Healthcare_Proximate_Units_2018,Low_Cost_Healthcare_Proximity_2017,Low_Cost_Healthcare_Proximate_Units_2017,Low_Cost_Healthcare_Proximity_2016,Low_Cost_Healthcare_Proximate_Units_2016,Grocery_Proximity_2018,Grocery_Proximate_Units_2018,Grocery_Proximity_2017,Grocery_Proximate_Units_2017,Grocery_Proximity_2016,Grocery_Proximate_Units_2016,Grocery_Proximity_2015,Grocery_Proximate_Units_2015,Grocery_Proximity_2014,Grocery_Proximate_Units_2014,Grocery_Proximity_2011,Grocery_Proximate_Units_2011,Pharmacy_Proximity_2018,Pharmacy_Proximate_Units_2018,Pharmacy_Proximity_2017,Pharmacy_Proximate_Units_2017,Pharmacy_Proximity_2016,Pharmacy_Proximate_Units_2016,Pharmacy_Proximity_2015,Pharmacy_Proximate_Units_2015,Pharmacy_Proximity_2013,Pharmacy_Proximate_Units_2013,Pharmacy_Proximity_2011,Pharmacy_Proximate_Units_2011,Park_Proximity_2018,Park_Proximate_Units_2018,Park_Proximity_2017,Park_Proximate_Units_2017,Park_Proximity_2016,Park_Proximate_Units_2016,Park_Proximity_2015,Park_Proximate_Units_2015,Park_Proximity_2013,Park_Proximate_Units_2013,Births_to_Adolescents_2016,Births_to_Adolescents_2014,Births_to_Adolescents_2012,Births_to_Adolescents_2010,Low_Birthweight_2016,Low_Birthweight_2014,Low_Birthweight_2012,Prenatal_Care_2016,Prenatal_Care_2014,Prenatal_Care_2012,Age_of_Death_2016,Age_of_Death_2014,Age_of_Death_2012,Age_of_Death_2010,Public_Health_Insurance _2017,Public_Health_Insurance _2015,Public_Health_Insurance _2014
339,12,163,100,1341,100,1186,33,443,33,0,0,0,0,0,0,0,0,0,100,1341,100,1341,100,1186,100,1099,100,954,100,889,63,843,62,838,59,696,55,609,48,458,0,11.1,0,0,0,16.7,6.3,61.5,83.3,81.3,,,,,1,1,1
340,60,2734,65,2600,71,2959,98,4431,98,3944,99,4123,99,3944,99,3900,98,3841,99,4516,100,4003,100,4182,100,4003,100,3959,100,3911,100,4541,100,4003,100,4182,100,4003,100,3959,2.1,2.3,1.4,1.3,9.5,18.6,8.6,67.4,69.8,81.4,64,68,71,64,16,13,23
341,82,1548,82,1547,82,1547,15,277,15,277,15,277,15,276,15,276,68,1236,43,816,42,806,43,808,45,807,45,807,44,806,100,1899,100,1898,100,1898,100,1797,100,1798,1.9,4.2,0,5.4,11.3,8.3,21,54.7,72.2,85.5,74,66,64,75,14,14,27
342,100,426,100,426,100,424,100,426,100,7,2,7,2,7,2,7,18,64,100,426,38,160,100,424,100,424,100,357,100,357,38,160,100,426,100,424,100,424,100,357,0,0,0,0,0,6.7,20,64.3,73.3,100,,,,72,76,,5
343,35,377,47,404,47,403,46,492,46,530,62,532,62,529,61,515,53,496,35,381,53,454,53,454,53,454,54,456,48,449,100,1076,100,860,100,861,100,858,100,844,0,1.9,0,9.5,4.4,3.8,5.7,71.7,79.2,81.1,73,64,63,65,8,11,7
344,31,261,31,263,33,263,69,590,69,640,71,562,71,555,72,544,74,538,2,13,0,3,23,185,24,186,26,192,27,196,100,850,100,839,100,794,100,787,100,752,4.6,5.9,7,3.9,18.2,9.8,7,61.4,70.6,77.2,63,74,58,64,13,15,12
345,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45,171,0,0,50,190,50,189,50,189,50,189,87,329,89,339,88,334,88,333,88,333,0,0,0,7.7,0,5.3,21.1,64.3,78.9,84.2,75,71,74,75,17,24,16
346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,845,81,855,81,852,80,842,81,850,4.7,2.9,8.2,17.9,10.6,17.6,16.3,54.1,51,70.4,64,64,68,63,30,38,30
347,100,355,100,348,100,345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,355,100,348,100,345,100,347,100,347,0,5,0,12.5,5.3,25,11.1,47.4,60,88.9,71,,59,61,21,26,28
348,0,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,1,27,350,0,0,22,288,22,288,22,288,22,288,72,929,75,965,75,962,75,961,75,960,1.6,3.9,7.9,3.3,4.8,5.8,15.8,69.8,69.2,64.5,74,78,71,76,16,17,13
349,0,0,0,0,21,163,73,465,73,467,75,591,75,592,75,592,78,616,72,464,0,0,75,594,75,595,75,595,76,596,6,36,5,36,5,36,5,36,5,36,4.4,1.8,3.8,2,13.3,7,3.8,62.2,84.2,75,82,69,73,75,6,11,9
350,0,0,5,38,88,666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37,5,37,5,37,5,37,5,36,9,66,7,55,7,55,7,55,7,55,0,0,2.9,0,0,5.6,14.3,86.1,88.9,91.4,79,77,72,79,3,3,2
351,40,182,41,185,0,0,37,165,37,204,46,203,46,203,49,202,43,170,38,171,46,204,46,203,46,203,49,202,51,201,84,379,82,367,82,361,82,358,81,334,0,2.7,0,3.6,5.6,8.1,12.1,72.2,81.1,90.9,77,,76,69,8,11,10
352,1,8,0,2,0,2,13,154,13,189,17,189,17,189,16,188,13,147,0,0,0,0,0,0,0,0,0,0,0,0,79,897,79,897,79,899,79,899,79,899,0,0,0,1.2,6,13.3,6.8,60,84.4,88.6,77,63,69,64,7,8,4
353,16,164,15,154,0,0,12,122,12,163,16,163,16,163,16,161,13,123,13,130,13,127,13,127,13,127,13,125,13,125,46,456,47,466,46,466,46,465,47,463,0,0,0,1.7,8.2,5.3,4.2,85.3,82.7,88.9,80,75,81,75,3,4,3
354,73,739,73,737,74,746,45,457,45,505,50,505,50,505,50,505,49,495,3,33,0,0,50,509,50,509,50,509,50,508,66,669,67,678,66,669,66,669,67,678,0,0,0,2.4,13.9,5,4.5,61.1,60,72.7,68,65,64,69,6,6,4
355,34,359,27,285,27,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,88,8,87,8,87,8,87,8,87,0,0,1.1,0,10.4,6.2,10.1,70.8,67,74.2,67,78,51,,4,3,2
356,56,1084,59,1126,59,1125,74,1431,74,1113,58,1102,58,1102,59,1102,54,1004,76,1458,63,1195,63,1196,63,1196,63,1186,63,1185,7,127,7,127,7,128,7,128,7,128,0,0,0,0,8.6,2.6,7.7,65.7,67.1,84.6,74,73,72,74,2,2,2
357,0,0,0,0,0,0,50,728,50,726,50,725,50,726,49,684,36,510,38,546,0,0,36,518,36,519,34,477,34,476,98,1432,98,1423,98,1416,98,1417,98,1378,0,3,1.4,3.8,11.7,3,8.3,85,87.9,90.3,78,82,83,82,9,9,9
358,45,868,42,593,30,501,44,863,44,512,78,1297,58,866,58,866,57,856,62,1201,20,279,61,1010,56,839,56,839,56,840,32,614,25,350,21,348,23,350,23,350,1,0,0,2.9,4.2,14.3,16.7,81.3,88.9,97.2,80,80,83,77,4,3,2
359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,278,26,275,31,328,31,324,26,271,0,0,0,0,10.7,7.5,6.9,82.7,88.1,91.4,85,85,85,84,2,2,2
360,0,0,0,0,0,0,14,215,14,295,18,263,18,263,18,263,15,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.7,1.8,1.6,7.9,7,9.8,20.5,64.8,65.2,75.4,71,67,68,64,15,19,13
361,20,171,14,107,20,118,32,279,32,172,29,173,39,174,39,174,45,207,0,0,0,0,0,0,0,0,29,133,29,133,47,405,97,729,96,570,94,425,94,425,0,5.3,3.2,14.3,14,7.9,9.7,60.5,52.6,67.7,64,63,61,62,20,51,33
362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,1298,100,1299,100,1303,100,1309,100,1311,3.1,9.8,10.6,11.9,13.4,14.7,12.8,54.6,52.9,69.1,71,70,70,64,42,45,38
363,0,0,0,0,0,0,42,510,42,458,38,461,38,461,38,462,35,388,0,0,0,0,0,0,0,0,0,0,0,0,98,1201,83,995,84,1015,84,1016,84,1009,5.6,14.3,12.9,7,14.1,14.3,17.6,53.5,41.6,60,67,63,66,65,41,44,37
364,43,511,40,468,44,502,53,624,53,628,56,640,56,639,56,628,54,601,65,765,10,118,55,628,55,626,55,616,55,615,88,1034,88,1014,87,1005,87,1000,87,981,0,0,0,0,0,11.1,4.4,83.7,95.6,91.1,77,80,82,80,0,0,0
365,0,0,0,1,36,296,90,734,90,717,87,720,87,720,87,719,53,341,95,777,69,569,90,747,90,746,90,745,88,570,62,504,60,494,60,497,60,497,60,496,7.1,2.4,5.7,4.7,7.1,7.1,11.4,66.7,76.2,74.3,73,67,67,69,14,18,13
366,29,126,28,121,74,326,4,17,4,22,5,22,7,31,7,31,29,170,100,440,66,292,100,441,100,459,100,442,100,583,68,298,68,299,68,300,69,319,61,270,8.7,6.9,0,0,0,17.2,0,52.2,62.1,66.7,63,60,64,66,18,22,17
367,86,2685,86,2662,86,2664,22,675,22,1126,37,1130,41,1130,42,1143,18,456,90,2799,89,2750,89,2766,87,2380,61,1669,60,1515,100,3127,100,3097,100,3094,100,2724,100,2735,0,0.9,2,0,8.4,6.1,3,80.4,82.5,93.9,72,75,69,74,4,4,5
368,49,582,51,607,51,607,88,1044,88,1007,85,1007,83,977,83,977,49,581,80,942,62,732,85,1007,77,915,82,969,77,916,56,663,62,732,62,731,62,732,62,732,2.2,1.3,3.9,2.8,12.1,5.1,7.8,52.8,64.1,74,58,66,63,63,16,19,14
369,0,0,0,0,0,0,27,123,27,137,32,151,33,155,38,195,90,472,0,0,0,0,0,0,0,0,0,0,0,0,92,412,94,423,89,415,89,418,85,431,25.7,15.9,6.3,15.8,25.7,20.5,12.5,42.9,56.8,62.5,63,63,57,58,41,55,42
370,49,612,79,965,100,1219,56,698,56,712,59,714,59,713,59,724,0,0,60,741,67,816,87,1059,100,1217,87,1076,88,1085,100,1237,100,1219,100,1218,100,1216,100,1235,6.2,1.9,7.6,5.8,13.6,11,14,48.8,52.3,58,65,63,61,68,72,63,94
371,45,1020,37,844,37,845,23,528,23,356,5,120,5,120,5,121,15,337,0,0,0,0,12,261,12,261,12,261,12,261,91,2054,90,2039,90,2039,90,2020,90,2041,7.2,9.3,7.8,12.6,11,11.9,18,51.7,44,64.1,65,67,67,66,36,42,32
372,0,0,0,0,0,0,9,393,9,444,22,964,22,948,21,941,21,902,19,842,20,887,20,883,20,867,10,425,10,418,20,868,19,833,19,833,20,867,19,832,0,1.5,1.4,0.3,5,4.4,12.9,69.8,74.3,77.3,76,74,76,73,5,6,4
