NPA,m37_2018,m37_moe_2018,m37_2017,m37_moe_2017,m80_2018,m80_2017,m80_2016,m80_2015,m80_2013,m80_2011,m38_2018,m38_moe_2018,m38_2017,m38_moe_2017,m75_2015,r75_2015,m75_2014,r75_2014,m75_2013,r75_2013,m75_2012,r75_2012,m75_2011,r75_2011,m75_2010,r75_2010,m75_2009,r75_2009,m75_2008,r75_2008,m75_2007,r75_2007,m75_2006,r75_2006,m75_2005,r75_2005,m75_2004,r75_2004,m75_2003,r75_2003,m75_2002,r75_2002,m19_2018,r19_2018,m19_2017,r19_2017,m19_2016,r19_2016,m19_2015,r19_2015,m19_2014,r19_2014,m19_2013,r19_2013,m19_2012,r19_2012,m19_2011,r19_2011,m41_2018,r41_2018,m41_2017,r41_2017,m41_2016,r41_2016,m41_2015,r41_2015,m41_2013,r41_2013,m41_2011,r41_2011,m42_2018,m42_2017,m42_2016,m42_2015,m42_2013,m42_2011,m79_2018,r79_2018,m79_2017,r79_2017,m79_2016,r79_2016,m79_2015,r79_2015,m79_2014,r79_2014
NPA,Household_Income_2018,Household_Income_moe_2018,Household_Income_2017,Household_Income_moe_2017,Public_Nutrition_Assistance_2018,Public_Nutrition_Assistance_2017,Public_Nutrition_Assistance_2016,Public_Nutrition_Assistance_2015,Public_Nutrition_Assistance_2013,Public_Nutrition_Assistance_2011,Employment_Rate_2018,Employment_Rate_moe_2018,Employment_Rate_2017,Employment_Rate_moe_2017,Job_Density_2015,Jobs_2015,Job_Density_2014,Jobs_2014,Job_Density_2013,Jobs_2013,Job_Density_2012,Jobs_2012,Job_Density_2011,Jobs_2011,Job_Density_2010,Jobs_2010,Job_Density_2009,Jobs_2009,Job_Density_2008,Jobs_2008,Job_Density_2007,Jobs_2007,Job_Density_2006,Jobs_2006,Job_Density_2005,Jobs_2005,Job_Density_2004,Jobs_2004,Job_Density_2003,Jobs_2003,Job_Density_2002,Jobs_2002,Commercial_Construction_2018,Commercial_Construction_Permitted_Units_2018,Commercial_Construction_2017,Commercial_Construction_Permitted_Units_2017,Commercial_Construction_2016,Commercial_Construction_Permitted_Units_2016,Commercial_Construction_2015,Commercial_Construction_Permitted_Units_2015,Commercial_Construction_2014,Commercial_Construction_Permitted_Units_2014,Commercial_Construction_2013,Commercial_Construction_Permitted_Units_2013,Commercial_Construction_2012,Commercial_Construction_Permitted_Units_2012,Commercial_Construction_2011,Commercial_Construction_Permitted_Units_2011,Commercial_Size_2018,Commercial_Size_Total_2018,Commercial_Size_2017,Commercial_Size_Total_2017,Commercial_Size_2016,Commercial_Size_Total_2016,Commercial_Size_2015,Commercial_Size_Total_2015,Commercial_Size_2013,Commercial_Size_Total_2013,Commercial_Size_2011,Commercial_Size_Total_2011,Commercial_Building_Age_2018,Commercial_Building_Age_2017,Commercial_Building_Age_2016,Commercial_Building_Age_2015,Commercial_Building_Age_2013,Commercial_Building_Age_11,Fincancial_Services_Proximity_2018,Financial_Services_Proximate_Units_2018,Fincancial_Services_Proximity_2017,Financial_Services_Proximate_Units_2017,Fincancial_Services_Proximity_2016,Financial_Services_Proximate_Units_2016,Fincancial_Services_Proximity_2015,Financial_Services_Proximate_Units_2015,Fincancial_Services_Proximity_2014,Financial_Services_Proximate_Units_2014
11,124022,,114728,,1,1,1,1,1,2,95,17,98,4,3.1,1589,3,1544,3,1526,2.8,1452,2.5,1296,2.5,1282,2.7,1388,3.1,1593,3.2,1645,4.3,2181,3.7,1865,3.6,1860,3.6,1844,3.7,1889,2.74,14,3.53,18,6.47,33,4.51,23,3.53,18,1.76,9,2.16,11,0.98,5,13009,507339,12810,499590,12718,496008,13507,526792,13702,534392,14019,532734,64,63,62,61,59,56,46,571,44,543,44,540,44,538,44,537
12,32275,,29404,,26,30,36,34,34,35,100,19,86,3,0.6,93,0.7,105,0.7,110,4.6,726,5.3,838,1.9,309,1.5,245,1.1,173,1.4,228,2.3,360,2.4,387,3.2,511,2.1,327,1.9,305,10.7,17,2.52,4,4.41,7,3.15,5,0.63,1,0.63,1,0.63,1,3.78,6,14059,126534,14059,126531,14059,126534,14059,126534,14059,126534,14059,126534,34,33,32,31,29,27,0,0,0,0,0,0,0,0,0,0
13,45367,,42386,,13,13,16,15,15,16,97,27,98,3,2.8,1287,3,1395,3.2,1453,3.2,1444,2.8,1282,2.1,971,1.9,873,2.4,1075,2.3,1046,2.5,1150,2.5,1151,2.5,1144,2.8,1300,2.7,1248,2.62,12,1.75,8,2.4,11,96.85,443,3.06,14,2.4,11,0.66,3,2.4,11,23079,1384752,23128,1387680,22780,1389568,22455,1392182,22797,1390610,22797,1390610,40,39,39,38,36,34,17,304,23,414,23,414,23,414,23,414
14,63861,,63048,,11,13,14,13,12,11,89,22,97,2,0.9,380,0.9,371,0.8,364,0.8,352,0.7,322,0.8,330,0.7,292,0.9,371,0.9,401,1,421,0.9,385,0.8,362,1,417,1,428,0.46,2,1.15,5,0.46,2,0.23,1,0,0,1.15,5,0.92,4,0.69,3,10143,91284,10143,91287,10143,91284,10143,91284,10143,91284,11185,89481,24,23,22,21,19,16,60,965,61,981,61,981,61,982,61,982
15,110453,,117169,,3,3,5,4,4,5,97,16,89,32,0.6,438,0.6,446,0.6,384,0.6,390,0.5,364,0.5,340,0.5,372,0.6,388,0.6,391,0.5,338,0.5,347,0.5,348,0.5,327,0.5,330,0.29,2,0.87,6,0,0,0.58,4,1.16,8,0.14,1,0.29,2,0.14,1,7149,35747,7149,35745,6665,26658,6665,26658,6665,26658,6278,31388,46,45,39,38,36,28,0,0,0,0,0,0,0,0,0,0
16,44953,,44474,,25,28,33,31,26,26,94,15,92,4,2.8,2028,2.8,2007,2.5,1806,2.5,1811,2.4,1711,2.8,2064,2.3,1682,2.2,1595,2.7,1979,2.2,1570,2.3,1635,2.3,1691,2.8,2019,2.5,1847,0.97,7,1.52,11,1.93,14,0.41,3,0.55,4,0.41,3,0.41,3,0.97,7,13694,534084,13755,536445,13866,540790,13759,550372,14044,547719,13503,567110,41,41,40,39,36,35,27,579,27,579,27,579,27,579,27,579
17,40861,,36685,,22,28,36,34,30,32,91,27,90,23,0.6,280,0.6,275,0.6,276,0.6,254,0.6,293,0.7,319,0.8,350,0.8,376,1,446,0.7,331,0.8,357,0.9,410,0.7,324,0.7,313,2.87,13,0.22,1,0,0,0.22,1,0,0,0,0,1.98,9,1.1,5,10774,226245,11126,222520,11130,233728,11130,233728,11130,233728,10971,230398,38,39,37,36,34,32,0,0,0,0,0,0,0,0,0,0
18,78279,,76489,,3,3,5,4,5,6,96,21,96,4,1.9,1190,2.7,1685,1.9,1144,1.8,1091,1.7,1033,1.6,969,1.7,1065,1.7,1064,1.3,794,1.3,800,1.3,814,1.2,759,1.2,732,1.2,750,2.6,16,2.44,15,1.79,11,0.98,6,1.95,12,3.58,22,1.14,7,3.25,20,31914,414876,31914,414882,31914,414876,31189,405454,31189,405454,33624,403490,29,28,27,26,24,21,28,469,30,499,33,555,33,556,33,558
19,90536,,91695,,2,3,3,3,3,3,97,22,98,20,0.8,682,0.7,616,0.6,538,0.6,515,1,857,1,844,0.5,397,0.6,483,1,862,1.2,1002,1,879,0.9,786,1.4,1209,1.2,969,0.36,3,1.07,9,0.84,7,2.15,18,1.31,11,1.31,11,1.19,10,0.95,8,4984,29906,4984,29904,4984,29906,5892,29460,5892,29460,5892,29460,46,45,45,46,44,42,38,674,37,654,37,654,37,654,37,654
20,72958,,67582,,2,2,3,2,2,4,97,23,96,6,0.5,190,0.4,160,0.4,174,0.3,124,0.4,156,0.3,136,1.4,554,1.2,490,0.4,162,0.2,94,0.1,58,0.1,28,0.1,34,0.1,23,0.75,3,7.77,31,9.02,36,9.02,36,16.78,67,15.53,62,7.51,30,1,4,23519,47037,23519,47038,23519,47037,23519,47037,23519,47037,23519,47037,14,12,12,11,9,7,23,334,16,232,15,225,15,225,15,225
21,32754,6442,28750,8634,28,30,37,36,36,37,97,39,91,6,3.4,3084,3.3,3002,3,2702,3.1,2788,3.1,2863,2.9,2654,3,2755,3.2,2933,3.3,2978,3.1,2854,3.2,2876,3,2781,3,2735,3.7,3349,0.88,8,2.08,19,1.86,17,1.86,17,1.32,12,1.21,11,0.77,7,1.32,12,17064,2935001,17101,2941372,17208,2959696,17218,2961544,17357,3020033,17156,3053790,50,49,48,48,46,45,75,904,77,946,77,948,77,944,77,940
22,62543,27646,49426,13948,7,8,17,17,18,24,78,65,89,3,2.8,873,2.7,864,2.8,888,2,638,1.9,609,1.8,572,1.9,602,2.3,717,2.7,841,2.5,784,2.8,893,2.8,878,3,956,3.2,993,10.18,32,7.64,24,3.5,11,2.23,7,3.18,10,1.59,5,3.5,11,4.77,15,16518,1222347,14227,1067025,14635,1112235,14944,1150694,15287,1192363,15536,1289484,64,64,63,62,58,58,83,571,68,474,56,286,56,278,48,176
23,19943,6404,18881,6834,44,48,56,54,49,46,95,20,93,42,3.2,897,3.2,892,3.6,1021,3.1,861,2.4,662,1.7,484,1.9,522,1.9,524,2.1,604,3.1,865,2.2,614,1,277,1.3,374,1.3,361,57.26,161,30.23,85,0.36,1,12.09,34,1.07,3,2.85,8,2.13,6,1.42,4,48394,290365,48394,290364,45398,272385,57675,346047,54144,324862,53920,323519,26,25,26,24,22,20,0,0,0,0,0,0,0,0,0,0
24,81397,36350,64417,32468,5,5,11,11,15,18,87,47,92,13,2,354,2.6,463,6.1,1105,6.8,1230,8.5,1532,8.4,1514,7.5,1346,7.4,1328,7.5,1343,7.5,1349,7,1267,6.2,1123,6.8,1223,6.3,1131,3.89,7,2.22,4,0.56,1,1.11,2,0,0,2.22,4,0.55,1,0.55,1,11643,163006,11177,167655,11177,167656,11177,167656,10227,173855,9863,187398,52,51,50,49,49,46,16,70,18,82,18,82,18,82,19,88
25,114514,21021,104750,16744,2,2,2,2,3,3,99,25,97,14,1.1,746,1.1,742,1.1,720,1.3,854,1.3,834,1.6,1034,1.1,743,1.2,770,1.1,734,1.1,687,1.1,733,1.4,882,1.4,945,0.9,616,0,0,0.15,1,0.15,1,0.15,1,0,0,0,0,0.15,1,0.15,1,34165,204992,34165,204990,34759,208555,34759,208555,34759,208555,34759,208555,23,22,24,23,21,19,27,312,26,295,26,290,26,288,26,288
26,77159,17466,75380,4732,5,6,7,7,7,8,98,38,99,2,0.2,185,0.2,177,0.1,66,0.1,63,0.1,63,0,38,0,38,0,50,0.1,63,0.1,65,0.1,128,0.1,62,0,56,0.1,63,0,0,0,0,0.09,1,0.18,2,0.09,1,0,0,0.09,1,0,0,3082,15410,3082,15410,3082,15410,3082,15410,2624,15746,2359,16514,40,39,38,37,32,28,0,0,0,0,0,0,0,0,0,0
27,65056,7868,56861,2752,14,15,19,18,18,18,98,27,97,6,0.4,136,0.3,112,0.5,155,0.4,116,0.3,87,0.3,94,0.2,70,0.2,78,0,14,0,7,0,15,0,10,0.1,31,0.1,26,0,0,0.31,1,0,0,0.62,2,0.94,3,0,0,0.62,2,0.62,2,17736,70945,17736,70944,17736,70945,17736,70945,23066,69197,23066,69197,26,25,25,23,29,27,0,0,0,0,0,0,0,0,0,0
28,115035,36030,83750,47859,1,2,1,1,1,1,99,43,98,7,4.9,955,4.4,859,4.4,854,4.7,918,4.2,808,3.9,747,4.2,819,4.2,818,5.3,1022,4.3,836,4.2,808,4.1,797,4.2,818,4.3,827,2.06,4,3.61,7,1.55,3,6.18,12,7.73,15,6.7,13,5.15,10,15.46,30,95684,287052,95684,287052,95684,287052,95524,286572,95541,286624,95541,286624,38,37,36,35,33,31,89,496,92,508,92,507,92,508,93,509
29,98164,12934,95039,17181,1,2,3,2,2,2,96,24,94,9,0.5,199,1.4,574,1.3,533,1.3,550,1.2,491,1.2,484,1.1,462,1.2,504,1.3,513,1.2,493,1.2,485,1.1,462,1.1,450,1.6,644,1.47,6,0.24,1,0.24,1,0,0,0,0,0.24,1,0.49,2,0.24,1,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,1066,17,16,15,14,12,10,0,0,0,0,0,0,0,0,0,0
30,19872,10295,16367,8181,34,36,47,51,76,78,92,17,84,15,6.6,3162,6.1,2888,5,2388,4.7,2265,5.4,2588,5.1,2444,4.9,2353,5.4,2557,5.4,2555,5.5,2631,4.9,2334,4.8,2283,6.4,3048,5.7,2703,2.93,14,7.34,35,6.71,32,3.15,15,4.61,22,10.49,50,2.94,14,1.68,8,14620,1739744,13145,1616835,12617,1551857,12961,1607199,13040,1656080,13193,1649080,55,53,53,52,50,48,56,620,93,1014,91,895,89,762,82,412
31,140417,35329,135063,20654,1,1,1,1,1,1,90,32,96,5,0.4,160,0.3,103,0.2,91,0.2,67,0.2,71,0.1,51,0.1,43,0.1,45,0.1,28,0.1,21,0.1,33,0.1,31,0.1,25,0.1,26,0.26,1,0,0,0.26,1,0.78,3,0.78,3,0,0,0.52,2,0.26,1,4481,8962,4481,8962,4481,8962,3742,7484,3742,7484,2833,8500,36,35,34,33,31,39,31,213,31,213,31,210,31,209,31,211
32,58906,20214,62969,35539,6,5,7,7,9,7,97,21,100,0,14.7,1275,13.7,1190,13.6,1186,12.4,1081,10.9,946,9.9,859,11.2,976,13.4,1164,13.2,1152,11.8,1028,12.8,1110,10.6,922,12.9,1118,13.2,1146,6.91,6,61.04,53,13.82,12,9.21,8,10.36,9,12.67,11,17.27,15,6.91,6,42628,383651,42656,383904,42656,383905,42513,382621,41960,377640,41960,377640,26,25,24,24,22,20,100,220,100,220,100,220,100,220,100,220
33,62014,24158,51597,15294,8,10,11,11,10,12,100,39,97,5,3,776,2.8,723,2.6,686,2,529,3.1,810,1.4,375,2.2,578,2.8,720,2.6,677,2.1,556,2.7,706,0.7,186,4.1,1063,4.7,1224,0,0,0.39,1,0,0,1.93,5,1.16,3,0,0,0.39,1,3.09,8,87385,699081,87385,699080,87385,699081,87385,699081,87385,699081,77905,545334,24,23,22,21,19,16,94,591,94,590,94,590,94,590,95,590
34,46173,15174,43531,15941,25,30,32,31,26,29,96,22,83,3,0.2,157,0.3,246,0.2,220,0.2,228,6.9,6419,0.1,126,0.1,81,0.1,87,0.1,81,0.3,255,0.3,302,0.3,311,0.3,290,0.3,271,0.86,8,0.43,4,0.54,5,0.11,1,0.65,6,0.22,2,0.11,1,1.19,11,33352,266817,36600,256200,36600,256199,36600,256199,36601,256209,34104,238729,33,37,36,35,33,31,1,5,0,4,0,4,0,4,0,4
35,74300,10938,70636,5781,11,13,17,18,19,21,96,36,96,3,0.3,654,0.3,735,0.2,411,0.2,445,0.2,569,0.1,313,0.2,360,0.2,465,0.2,469,0.2,388,0.2,480,0.2,433,0.2,359,0.2,394,0.35,8,0.48,11,0.18,4,0,0,0.39,9,0.31,7,0.04,1,0.18,4,26876,1182538,21141,845640,21070,863864,20990,860600,20616,865867,20177,867595,40,43,41,40,40,37,0,0,0,0,0,0,0,0,0,0
36,65814,13660,59792,14523,4,5,7,7,7,9,94,30,95,5,0.8,448,0.7,392,0.7,390,0.7,432,0.6,350,0.8,460,0.8,465,0.8,500,0.9,556,0.9,534,1,581,1,565,1.1,654,1.1,662,1.18,7,0.34,2,0.84,5,0.67,4,0.51,3,1.85,11,1.68,10,0.51,3,8565,274074,8565,274080,8811,273134,8827,273628,8973,269188,9235,267820,28,27,26,25,24,23,37,495,39,512,41,510,41,510,32,340
37,36848,7338,31071,6686,27,33,42,40,44,47,88,25,75,2,0.7,169,0.9,217,1,237,0.9,219,0.4,92,0.4,88,0.4,109,0.6,138,0.5,118,1.4,341,1.2,280,0.3,70,0.4,89,1,245,5.34,13,2.47,6,0,0,3.29,8,1.23,3,1.64,4,2.06,5,1.64,4,6864,199067,6680,200400,7347,235105,8017,240497,11553,369693,11553,369693,68,67,69,68,65,63,7,58,6,50,6,48,6,49,7,52
38,103750,17237,91833,18215,4,3,5,5,5,5,98,23,91,6,4.6,8666,4.2,7847,4,7478,3.8,7216,3.6,6768,3.1,5874,3.2,6100,3.9,7265,4.1,7695,3.6,6809,3.3,6238,3.1,5918,3.2,6046,3.1,5855,0.75,14,1.49,28,1.97,37,1.38,26,1.8,34,1.06,20,1.06,20,1.01,19,52407,5607522,52869,5709852,50046,5304928,48227,5112073,51116,5060455,50679,4814550,26,25,24,23,21,20,0,4,0,4,0,4,0,4,0,4
39,58137,11434,53895,6070,16,17,20,19,18,20,100,39,91,29,0.2,101,0.3,179,0.3,183,0.3,181,0.1,74,0.1,97,0.2,119,0.2,125,0.3,172,0.2,165,0.2,148,0.3,174,0.3,181,0.3,168,0.45,3,0,0,0.15,1,0.15,1,0,0,0.15,1,0.15,1,0,0,16116,80581,16116,80580,16116,80581,16090,80449,13675,82049,16090,80449,34,33,32,31,25,27,0,0,0,0,0,0,0,0,0,0
40,34722,10383,39155,3454,25,29,31,30,29,33,93,32,84,3,0.4,143,0.4,148,0.2,82,0.2,75,0.2,60,0.2,58,0.1,29,0.1,43,0.1,52,0.1,24,0.1,32,0.1,40,0.1,19,0.1,20,2.3,8,1.15,4,0.29,1,1.15,4,1.15,4,0,0,0,0,0,0,15141,90848,17894,89470,17894,89468,17894,89468,17894,89468,17894,89468,37,31,30,29,27,25,0,0,0,0,59,707,59,702,59,702
41,56875,5936,55268,7203,8,8,11,11,9,9,95,22,93,7,1.8,551,1.5,472,1.3,418,1.3,412,1.3,409,1.3,405,1.3,395,1.3,413,1.1,356,1.1,346,0.9,285,0.8,259,1.3,398,0.8,259,2.24,7,0.32,1,9.58,30,4.47,14,0,0,1.92,6,1.6,5,9.58,30,78902,157804,79526,159052,79526,159052,79526,159052,79526,159052,79526,159052,27,26,25,24,22,20,46,356,61,474,55,425,55,425,61,473
42,69630,15994,64922,8352,3,4,5,5,5,6,77,38,94,4,0.5,179,0.5,184,0.6,223,0.5,189,0.2,77,0.1,39,0.2,87,0.2,72,0.2,70,0.4,140,0.6,209,0.7,236,0.6,227,0.6,206,0.28,1,0.85,3,1.14,4,0.57,2,3.69,13,33.78,119,0.57,2,0.28,1,1697,3393,1697,3394,1697,3393,1697,3393,1697,3393,1697,3393,42,41,41,39,37,35,0,0,0,0,0,0,0,0,0,0
43,99265,52306,95648,65378,5,5,6,6,7,6,89,33,97,10,0.7,248,0.6,203,0.7,247,0.8,270,1.5,536,1.1,391,1,371,1.2,412,0.4,143,0.5,171,0.5,167,0.4,151,0.5,169,0.4,160,1.4,5,0.84,3,0.28,1,6.7,24,0.28,1,0.56,2,0.56,2,0.28,1,22142,66425,22142,66426,22142,66425,22142,66425,22142,66425,22142,66425,26,25,24,23,21,19,0,0,0,0,0,0,0,0,0,0
44,64449,18727,72708,27123,2,2,3,3,3,2,95,25,100,0,2.3,503,2.5,567,2.6,574,0.2,55,2.6,589,2.7,613,2.9,639,3.2,716,2.7,613,0.1,19,3,660,2.2,500,2.2,491,2.6,578,0.9,2,0.9,2,0.45,1,2.69,6,1.34,3,1.34,3,0,0,1.34,3,20967,125801,20967,125802,20967,125801,20967,125801,20967,125801,20967,125801,27,26,25,23,21,19,0,0,0,0,0,0,0,0,0,0
45,117177,7766,115023,6701,3,4,4,4,3,5,98,54,93,15,0.3,246,0.1,85,0.1,81,0.1,90,0.1,69,0,32,0,15,0,13,0,9,0,40,0,11,0,29,0,12,0,29,1.55,15,2.49,24,0.93,9,2,19,22.16,211,0,0,0.11,1,0,0,63046,504365,97481,487405,156817,470450,7465,14930,8185,16370,8185,16370,5,5,5,29,23,21,0,0,0,0,0,0,0,0,0,0
46,37023,11371,34309,10194,15,14,15,15,13,15,93,21,89,21,0.8,222,0.7,193,0.7,208,0.8,223,0.4,112,0.8,216,0.8,217,0.8,225,0.6,177,0.6,161,0.5,136,0.5,140,0.6,169,0.7,195,0,0,0,0,1.05,3,0.35,1,0.35,1,0,0,0,0,0.7,2,13024,91167,13024,91168,13024,91167,12934,90537,12934,90537,12867,90069,24,23,22,21,19,17,0,0,0,0,0,0,0,0,0,0
47,87279,13622,76797,21197,2,3,2,2,2,2,98,60,100,0,3,420,3.7,521,3.5,481,3.4,479,3.4,472,3.6,498,4.1,570,3.8,532,4,550,4.8,666,4.4,611,3.9,546,3.9,548,4.5,621,5.02,7,5.74,8,2.87,4,3.59,5,2.15,3,0.72,1,5.74,8,2.15,3,9314,65196,9314,65198,9304,65127,8505,68043,8505,68043,8231,65849,35,34,33,30,28,30,99,601,99,585,99,630,98,630,98,630
48,50391,7504,45952,10004,17,18,21,20,19,19,91,41,89,2,0.2,343,0.2,368,0.2,375,0.2,372,0.1,107,0.1,149,0.1,145,0.1,153,0.1,251,0.2,463,0.2,387,0.2,370,0.2,386,0.2,329,1.21,23,0,0,0.32,6,0.21,4,0.16,3,0.11,2,0.05,1,0.21,4,21437,107184,21437,107185,21437,107184,18031,108184,18031,108184,18031,108184,27,26,25,31,29,27,0,0,0,0,0,0,0,0,0,0
49,61875,16248,60984,12263,17,18,18,17,18,20,97,24,93,12,0.1,120,0.1,124,0.1,108,0.1,124,0.6,685,0.5,573,0.1,128,0.1,141,0.4,428,0.3,377,0.2,286,0.3,325,0.2,250,1.8,2212,0.17,2,0.08,1,0,0,0,0,0,0,0.08,1,0.17,2,0,0,3602,32420,3602,32418,3602,32420,3602,32420,3602,32420,3602,32420,50,49,48,47,45,43,33,323,34,335,34,335,34,330,35,330
50,40404,8119,37000,10986,38,40,51,47,44,41,97,42,85,33,0.5,144,0.6,166,0.3,91,0.6,155,0.4,94,0.4,96,0.4,98,0.4,119,0.5,133,0.5,127,0.5,122,0.7,183,0.7,184,0.6,172,16.81,45,0.37,1,4.11,11,0.75,2,1.87,5,1.49,4,2.24,6,1.87,5,8530,127946,8531,127965,8284,124262,8572,128582,8525,127877,8148,130374,41,40,39,38,36,34,79,832,75,790,75,790,75,790,75,789
51,83438,26951,90938,24402,4,6,10,10,10,12,95,34,94,24,4.4,1237,4.3,1218,4.5,1261,4.4,1227,3.7,1039,3.1,875,3.1,884,3.4,969,4.5,1283,4.2,1197,3.1,862,3.3,939,3.3,926,3.9,1112,3.9,11,2.48,7,2.84,8,4.97,14,2.84,8,1.06,3,4.97,14,1.42,4,19125,898853,19125,898875,19382,910968,19320,927353,19667,944003,19653,943357,61,60,60,59,57,55,100,1132,91,695,91,699,91,666,91,671
52,26466,7223,25785,4276,25,35,43,41,42,52,89,23,86,11,2,1001,2.3,1129,2.4,1189,2.3,1153,2.3,1131,2.2,1123,2.4,1185,2.6,1307,2.8,1412,3.1,1534,3.1,1529,3.2,1628,3.7,1850,3.8,1927,1.99,10,2.39,12,2.79,14,4.59,23,1.99,10,9.97,50,1.79,9,4.59,23,12963,907442,13054,952942,13069,954066,13330,959786,13314,985243,13566,1085240,42,42,41,41,39,36,26,193,8,45,0,0,0,0,38,337
53,37963,6755,36078,4916,30,33,38,36,33,36,89,26,89,2,1.3,544,0.9,386,0.9,398,1,420,0.8,336,0.8,336,0.8,338,0.4,155,0.5,202,0.6,277,0.5,207,1.1,497,1.1,499,0.5,198,0.46,2,0.69,3,0.92,4,2.52,11,2.06,9,1.14,5,2.75,12,1.83,8,20888,522198,20888,522200,20147,523818,20147,523818,20888,522198,20559,513980,35,34,34,33,30,30,0,0,0,0,0,0,0,0,0,0
54,55000,22956,44725,3698,26,27,33,32,27,33,91,28,90,27,3.5,2936,3,2515,3.2,2665,3.4,2809,5.6,4689,2.5,2122,2.5,2072,3,2527,3.6,2976,4.1,3447,4,3342,3.8,3191,4.3,3573,4.6,3838,1.2,10,2.16,18,3.12,26,0.84,7,1.2,10,1.08,9,0.6,5,0.96,8,49379,1036960,44262,929502,44262,929499,43409,911595,43409,911595,43409,911595,29,30,29,28,26,24,13,77,14,77,14,77,14,77,14,77
55,124643,32081,110192,47124,3,4,7,7,6,6,85,28,89,33,3.6,1964,3.5,1920,3,1665,2.3,1299,2.2,1202,2.2,1225,2.2,1236,2.5,1381,3.5,1911,3.3,1799,2.9,1624,2.9,1585,3.2,1768,2.7,1509,2.53,14,0.18,1,0.54,3,1.63,9,1.63,9,0.9,5,0.9,5,0.54,3,17069,443799,17069,443794,17195,464261,17228,465153,17228,465153,17223,465033,31,30,28,26,24,22,30,242,26,208,26,208,26,207,26,207
56,59034,13396,65813,22891,4,6,7,6,7,11,96,23,94,39,7.6,2221,6.9,2015,6.5,1907,6.5,1891,6.4,1877,6.4,1862,6.6,1920,7,2060,7.1,2086,6.5,1894,6.7,1976,6.7,1967,6.8,1995,6.7,1950,1.7,5,1.7,5,2.04,6,2.39,7,2.73,8,3.41,10,2.39,7,3.41,10,50096,601157,50032,600384,58378,467026,75145,601157,85204,596431,44288,310014,23,22,22,21,21,19,53,192,77,281,77,281,77,281,78,281
57,33018,5075,37708,9706,38,38,46,44,37,37,96,48,91,9,6.5,1093,5.9,983,5.7,961,5.3,887,9.6,1615,5.5,918,3.9,660,4.8,799,5.1,855,5.7,963,5.7,952,5.5,921,5.7,951,5.8,978,1.19,2,1.79,3,2.98,5,2.98,5,3.58,6,4.77,8,13.72,23,10.14,17,53374,426993,47564,428076,47564,428073,42494,382442,38932,428254,37685,527591,35,35,35,35,36,32,23,153,16,106,16,106,16,106,16,106
58,45882,9250,41367,16841,15,34,40,38,28,32,94,29,97,6,0.8,167,0.6,130,0.6,139,0.8,170,0.7,158,0.7,157,0.7,162,0.7,149,0.8,181,0.9,197,0.8,165,0.6,127,0.8,172,0.8,170,1.83,4,0.46,1,1.37,3,5.03,11,6.86,15,0.92,2,14.19,31,0.92,2,8306,174421,8512,170240,8204,172279,8232,172868,8232,172868,8232,172868,38,39,38,37,35,33,16,78,16,78,16,78,16,78,16,78
59,46673,4382,44260,7967,27,28,29,29,26,24,95,24,94,22,3.6,1225,2.4,840,2.2,775,1.4,483,1,338,0.6,218,0.4,138,0.5,160,0.5,189,0.5,162,0.6,223,0.4,152,0.6,202,0.7,232,0,0,0,0,0,0,0.29,1,1.16,4,11.03,38,0.58,2,0.29,1,11959,179385,11953,179295,10650,181052,10650,181052,9885,177921,9885,177921,38,37,39,38,36,34,30,334,30,333,30,333,30,333,30,333
60,17079,5950,21189,5753,7,8,12,14,14,11,94,18,93,9,0.3,236,0.3,214,0.3,211,0.3,254,0.3,267,0.2,166,0.2,147,0.2,142,0.2,172,0.3,212,0.3,256,0.3,233,0.3,235,0.4,309,1.25,10,2.37,19,3.37,27,1.25,10,2.75,22,0.5,4,0.87,7,2.37,19,25065,426113,25065,426105,24774,421163,16650,249755,16262,243926,16262,243926,20,19,18,20,19,17,5,84,0,0,0,0,0,0,0,0
61,55324,35002,55536,39773,12,13,15,15,10,10,75,97,86,13,0.7,208,1,289,0.8,250,0.9,262,0.8,230,0.6,177,0.6,191,0.7,202,0.4,113,0.4,124,0.4,134,0.3,78,0.2,75,0.2,51,0.33,1,0.33,1,0.66,2,0.33,1,1.33,4,0,0,0,0,0.33,1,52263,104526,52263,104526,52263,104526,51389,102778,51389,102778,34531,103594,22,20,20,19,17,32,0,0,0,0,0,0,0,0,0,0
62,0,,,,0,0,0,0,0,0,97,22,76,7,15.1,4390,15,4358,17,4941,16.5,4788,16.6,4821,15.5,4506,15.6,4549,15.2,4409,16,4658,13.6,3963,13,3783,11.5,3357,10.8,3156,10.5,3049,0,0,0,0,0,0,0,0,0.34,1,0,0,0,0,0,0,84368,84368,84368,84368,84368,84368,,,,,,,40,39,38,,,,0,0,100,64,100,64,100,64,0,0
64,33197,,31604,,9,11,15,15,14,15,91,12,88,32,2.4,912,2.3,890,2.1,786,2,769,2,767,1.3,515,1.5,559,1.6,607,1.8,704,2.1,807,2,783,2,772,2.2,831,2.5,973,3.15,12,2.36,9,1.83,7,8.39,32,2.36,9,3.15,12,2.1,8,6.03,23,18111,380336,17363,381986,17352,381741,17948,376906,13731,288341,19113,286694,25,25,24,23,24,20,81,2084,82,2096,77,1578,77,1600,76,1507
