GEOID,coordinates
371190062132,"[[[-80.894634, 35.406745], [-80.892661, 35.407086], [-80.890868, 35.407014], [-80.892782, 35.405932], [-80.89349, 35.405492], [-80.895322, 35.404868], [-80.901859, 35.405048], [-80.91296, 35.393669], [-80.914094, 35.393023], [-80.919283, 35.392939], [-80.920014, 35.390399], [-80.920941, 35.389583], [-80.923882, 35.395107], [-80.923165, 35.398092], [-80.924214, 35.401151], [-80.926537, 35.408213], [-80.925819, 35.4103], [-80.92469, 35.41278], [-80.920915, 35.417696], [-80.915943, 35.422512], [-80.91265, 35.421681], [-80.91033, 35.416501], [-80.905277, 35.410789], [-80.903206, 35.40944], [-80.900999, 35.407813], [-80.901014, 35.407619], [-80.901111, 35.4074], [-80.899923, 35.407009], [-80.894634, 35.406745]]]"
371190063022,"[[[-80.84295, 35.410802], [-80.841601, 35.405392], [-80.83973, 35.403097], [-80.837729, 35.397323], [-80.835174, 35.392729], [-80.834853, 35.389642], [-80.834777, 35.388915], [-80.834129, 35.382738], [-80.833333, 35.375127], [-80.83144, 35.370185], [-80.838346, 35.370243], [-80.840922, 35.369056], [-80.844442, 35.381262], [-80.848459, 35.391048], [-80.849972, 35.394709], [-80.854871, 35.409864], [-80.852645, 35.410412], [-80.845315, 35.410728], [-80.84295, 35.410802]]]"
371190063032,"[[[-80.859634, 35.422515], [-80.86249, 35.428259], [-80.864823, 35.43372], [-80.865489, 35.442226], [-80.844521, 35.440773], [-80.843763, 35.434592], [-80.842728, 35.42637], [-80.848656, 35.425746], [-80.859634, 35.422515]]]"
371190064031,"[[[-80.839292, 35.509861], [-80.843015, 35.507482], [-80.846214, 35.504344], [-80.848477, 35.499255], [-80.849031, 35.497945], [-80.852316, 35.496356], [-80.852831, 35.497247], [-80.860428, 35.499266], [-80.861254, 35.502195], [-80.866468, 35.50389], [-80.866214, 35.507322], [-80.865882, 35.511816], [-80.855793, 35.511064], [-80.839817, 35.5099], [-80.839292, 35.509861]]]"
371190064051,"[[[-80.866468, 35.50389], [-80.861254, 35.502195], [-80.860428, 35.499266], [-80.852831, 35.497247], [-80.852316, 35.496356], [-80.85504, 35.492985], [-80.855768, 35.492827], [-80.856314, 35.492709], [-80.857483, 35.491833], [-80.858781, 35.485627], [-80.85781, 35.481182], [-80.868034, 35.483972], [-80.873509, 35.483651], [-80.874958, 35.483495], [-80.873685, 35.488418], [-80.86942, 35.496997], [-80.869396, 35.497042], [-80.867857, 35.500134], [-80.867749, 35.500349], [-80.866757, 35.502527], [-80.866468, 35.50389]]]"
371190064072,"[[[-80.866591, 35.447548], [-80.866148, 35.448169], [-80.865907, 35.448683], [-80.865318, 35.449889], [-80.865001, 35.450069], [-80.864421, 35.450277], [-80.862327, 35.450852], [-80.859183, 35.451895], [-80.856711, 35.45159], [-80.856551, 35.451553], [-80.856351, 35.451499], [-80.848606, 35.449956], [-80.846501, 35.451779], [-80.845496, 35.451445], [-80.844862, 35.451306], [-80.843211, 35.451022], [-80.844521, 35.440773], [-80.865489, 35.442226], [-80.866288, 35.445963], [-80.866591, 35.447548]]]"
371199803001,"[[[-80.84358, 35.219106], [-80.841996, 35.220125], [-80.83921, 35.2221], [-80.833514, 35.217117], [-80.832507, 35.216408], [-80.833939, 35.213349], [-80.837451, 35.213949], [-80.84358, 35.219106]]]"
371190012001,"[[[-80.774517, 35.233812], [-80.774516, 35.233448], [-80.774578, 35.229578], [-80.775304, 35.228146], [-80.779444, 35.222241], [-80.782281, 35.222966], [-80.785031, 35.222157], [-80.788041, 35.223137], [-80.791538, 35.222331], [-80.792822, 35.220636], [-80.792112, 35.218722], [-80.794421, 35.217968], [-80.795515, 35.218374], [-80.793577, 35.221666], [-80.791344, 35.225568], [-80.788718, 35.227136], [-80.78366, 35.227834], [-80.782183, 35.230032], [-80.783452, 35.235289], [-80.778433, 35.23401], [-80.774517, 35.233812]]]"
371190012002,"[[[-80.794421, 35.217968], [-80.792112, 35.218722], [-80.792822, 35.220636], [-80.791538, 35.222331], [-80.788041, 35.223137], [-80.785031, 35.222157], [-80.782281, 35.222966], [-80.779444, 35.222241], [-80.780586, 35.219914], [-80.780725, 35.215613], [-80.786649, 35.216141], [-80.788803, 35.216573], [-80.792331, 35.217218], [-80.794421, 35.217968]]]"
371190012003,"[[[-80.795515, 35.218374], [-80.797889, 35.21916], [-80.799229, 35.219303], [-80.800146, 35.219388], [-80.801627, 35.219527], [-80.801994, 35.22359], [-80.802711, 35.223798], [-80.801231, 35.228821], [-80.800811, 35.229552], [-80.801306, 35.231079], [-80.801843, 35.231596], [-80.79895, 35.23255], [-80.796568, 35.234947], [-80.795249, 35.233599], [-80.790806, 35.235375], [-80.788415, 35.234688], [-80.786139, 35.235472], [-80.78463, 35.235459], [-80.783452, 35.235289], [-80.782183, 35.230032], [-80.78366, 35.227834], [-80.788718, 35.227136], [-80.791344, 35.225568], [-80.793577, 35.221666], [-80.795515, 35.218374]]]"
371190013001,"[[[-80.781027, 35.249517], [-80.780691, 35.244679], [-80.77913, 35.241279], [-80.775653, 35.236789], [-80.774624, 35.234656], [-80.774517, 35.233812], [-80.778433, 35.23401], [-80.783452, 35.235289], [-80.78463, 35.235459], [-80.786139, 35.235472], [-80.788415, 35.234688], [-80.790806, 35.235375], [-80.791425, 35.235542], [-80.791876, 35.235626], [-80.790343, 35.238451], [-80.791218, 35.239987], [-80.795667, 35.242018], [-80.794725, 35.242949], [-80.791951, 35.245393], [-80.787905, 35.24665], [-80.783288, 35.24874], [-80.781027, 35.249517]]]"
371190013003,"[[[-80.807771, 35.232822], [-80.805007, 35.235052], [-80.803319, 35.236038], [-80.802635, 35.23638], [-80.799633, 35.238066], [-80.796568, 35.234947], [-80.79895, 35.23255], [-80.801843, 35.231596], [-80.807853, 35.23245], [-80.807771, 35.232822]]]"
371190014001,"[[[-80.794725, 35.242949], [-80.795723, 35.244836], [-80.797834, 35.244413], [-80.799966, 35.247694], [-80.800125, 35.249828], [-80.797593, 35.250525], [-80.791124, 35.251456], [-80.780009, 35.253838], [-80.781027, 35.249517], [-80.783288, 35.24874], [-80.787905, 35.24665], [-80.791951, 35.245393], [-80.794725, 35.242949]]]"
371190014002,"[[[-80.802635, 35.23638], [-80.802675, 35.236535], [-80.802566, 35.237215], [-80.80339, 35.240785], [-80.808356, 35.241766], [-80.811009, 35.243199], [-80.810166, 35.244443], [-80.804559, 35.247688], [-80.805919, 35.249154], [-80.797593, 35.250525], [-80.800125, 35.249828], [-80.799966, 35.247694], [-80.797834, 35.244413], [-80.795723, 35.244836], [-80.794725, 35.242949], [-80.795667, 35.242018], [-80.798972, 35.238718], [-80.799633, 35.238066], [-80.802635, 35.23638]]]"
371190015042,"[[[-80.750702, 35.242511], [-80.751935, 35.241846], [-80.756106, 35.239418], [-80.759239, 35.237858], [-80.769301, 35.241145], [-80.764426, 35.244578], [-80.761614, 35.245795], [-80.75784, 35.249351], [-80.757764, 35.251036], [-80.757144, 35.250725], [-80.752495, 35.247682], [-80.752333, 35.244586], [-80.75099, 35.242853], [-80.750702, 35.242511]]]"
371190015043,"[[[-80.750702, 35.242511], [-80.747089, 35.238189], [-80.742988, 35.237446], [-80.740123, 35.237106], [-80.737895, 35.236914], [-80.739917, 35.231733], [-80.759239, 35.237858], [-80.756106, 35.239418], [-80.751935, 35.241846], [-80.750702, 35.242511]]]"
371190015051,"[[[-80.768419, 35.267423], [-80.768147, 35.268445], [-80.767631, 35.270896], [-80.76636, 35.277001], [-80.764646, 35.28236], [-80.761233, 35.286257], [-80.760139, 35.287369], [-80.758952, 35.288379], [-80.757654, 35.289135], [-80.755533, 35.287994], [-80.753886, 35.284769], [-80.751056, 35.283391], [-80.74816, 35.283402], [-80.745554, 35.283223], [-80.741764, 35.280868], [-80.736379, 35.278506], [-80.740729, 35.272064], [-80.740513, 35.271995], [-80.742276, 35.269658], [-80.745039, 35.267535], [-80.749017, 35.265795], [-80.762407, 35.262265], [-80.762938, 35.262917], [-80.763125, 35.263064], [-80.769088, 35.266036], [-80.768892, 35.266387], [-80.768419, 35.267423]]]"
371190015072,"[[[-80.74382, 35.244645], [-80.745251, 35.249953], [-80.746657, 35.251684], [-80.736216, 35.258278], [-80.736377, 35.254836], [-80.737439, 35.246477], [-80.737448, 35.246385], [-80.741654, 35.246623], [-80.742187, 35.244506], [-80.74382, 35.244645]]]"
371190015073,"[[[-80.737895, 35.236914], [-80.740123, 35.237106], [-80.742988, 35.237446], [-80.747089, 35.238189], [-80.750702, 35.242511], [-80.75099, 35.242853], [-80.745134, 35.243369], [-80.745135, 35.243735], [-80.744888, 35.244681], [-80.744249, 35.244727], [-80.74382, 35.244645], [-80.742187, 35.244506], [-80.741654, 35.246623], [-80.737448, 35.246385], [-80.737955, 35.239797], [-80.737781, 35.238951], [-80.737675, 35.237509], [-80.737895, 35.236914]]]"
371190015082,"[[[-80.737781, 35.238951], [-80.737955, 35.239797], [-80.737448, 35.246385], [-80.737439, 35.246477], [-80.734237, 35.245859], [-80.730895, 35.24694], [-80.727827, 35.244193], [-80.725965, 35.243309], [-80.721107, 35.238236], [-80.716554, 35.240851], [-80.71643, 35.236362], [-80.719986, 35.230026], [-80.720028, 35.229903], [-80.721491, 35.227743], [-80.72385, 35.227692], [-80.726571, 35.227706], [-80.730539, 35.232081], [-80.736876, 35.237725], [-80.737781, 35.238951]]]"
371190015083,"[[[-80.726571, 35.227706], [-80.729391, 35.228343], [-80.735794, 35.230433], [-80.739917, 35.231733], [-80.737895, 35.236914], [-80.737675, 35.237509], [-80.737781, 35.238951], [-80.736876, 35.237725], [-80.730539, 35.232081], [-80.726571, 35.227706]]]"
371190015091,"[[[-80.75808, 35.251126], [-80.76093, 35.250594], [-80.76327, 35.252618], [-80.763487, 35.254494], [-80.765269, 35.255208], [-80.764786, 35.256112], [-80.763767, 35.255905], [-80.762628, 35.257909], [-80.753148, 35.260392], [-80.752457, 35.257312], [-80.753723, 35.256495], [-80.75808, 35.251126]]]"
371190015092,"[[[-80.76093, 35.250594], [-80.761998, 35.250226], [-80.765187, 35.249304], [-80.771613, 35.249307], [-80.776518, 35.250767], [-80.781027, 35.249517], [-80.780009, 35.253838], [-80.768692, 35.260442], [-80.762407, 35.262265], [-80.749017, 35.265795], [-80.745039, 35.267535], [-80.742276, 35.269658], [-80.740513, 35.271995], [-80.740295, 35.271884], [-80.739942, 35.271612], [-80.735614, 35.265129], [-80.741121, 35.267057], [-80.7411, 35.263267], [-80.74594, 35.261704], [-80.746449, 35.260368], [-80.752408, 35.257338], [-80.752457, 35.257312], [-80.753148, 35.260392], [-80.762628, 35.257909], [-80.763767, 35.255905], [-80.764786, 35.256112], [-80.765269, 35.255208], [-80.763487, 35.254494], [-80.76327, 35.252618], [-80.76093, 35.250594]]]"
371190015102,"[[[-80.75808, 35.251126], [-80.753723, 35.256495], [-80.752457, 35.257312], [-80.752408, 35.257338], [-80.751786, 35.25681], [-80.747312, 35.251274], [-80.752495, 35.247682], [-80.757144, 35.250725], [-80.757764, 35.251036], [-80.757877, 35.251074], [-80.75808, 35.251126]]]"
371190016031,"[[[-80.767976, 35.222752], [-80.771584, 35.223115], [-80.772705, 35.22649], [-80.775304, 35.228146], [-80.774578, 35.229578], [-80.774516, 35.233448], [-80.774517, 35.233812], [-80.774624, 35.234656], [-80.775653, 35.236789], [-80.770559, 35.234417], [-80.769116, 35.234161], [-80.765899, 35.232465], [-80.764786, 35.22958], [-80.759766, 35.228752], [-80.755482, 35.227366], [-80.755761, 35.22443], [-80.756989, 35.223152], [-80.762302, 35.226561], [-80.76404, 35.226687], [-80.766918, 35.224252], [-80.7677, 35.223333], [-80.767976, 35.222752]]]"
371190016032,"[[[-80.760564, 35.234544], [-80.758304, 35.233862], [-80.747263, 35.226624], [-80.748247, 35.224912], [-80.748699, 35.224333], [-80.750895, 35.221806], [-80.752878, 35.21954], [-80.753553, 35.219962], [-80.756989, 35.223152], [-80.755761, 35.22443], [-80.755482, 35.227366], [-80.759766, 35.228752], [-80.764786, 35.22958], [-80.765899, 35.232465], [-80.769116, 35.234161], [-80.763629, 35.235028], [-80.760564, 35.234544]]]"
371190016061,"[[[-80.756989, 35.223152], [-80.753553, 35.219962], [-80.752878, 35.21954], [-80.754392, 35.21763], [-80.757143, 35.20987], [-80.762751, 35.212139], [-80.766, 35.212919], [-80.76437, 35.214367], [-80.762503, 35.219708], [-80.763666, 35.22111], [-80.767976, 35.222752], [-80.7677, 35.223333], [-80.766918, 35.224252], [-80.76404, 35.226687], [-80.762302, 35.226561], [-80.756989, 35.223152]]]"
371190016062,"[[[-80.771584, 35.223115], [-80.767976, 35.222752], [-80.763666, 35.22111], [-80.762503, 35.219708], [-80.76437, 35.214367], [-80.766, 35.212919], [-80.771281, 35.213992], [-80.770575, 35.219418], [-80.771584, 35.223115]]]"
371190016071,"[[[-80.757143, 35.20987], [-80.754392, 35.21763], [-80.752878, 35.21954], [-80.750895, 35.221806], [-80.749754, 35.221068], [-80.74328, 35.213607], [-80.743706, 35.211819], [-80.740362, 35.207788], [-80.741549, 35.205508], [-80.741152, 35.203099], [-80.74348, 35.203181], [-80.74626, 35.20341], [-80.747684, 35.203823], [-80.757143, 35.20987]]]"
371190016082,"[[[-80.739917, 35.231733], [-80.745314, 35.228679], [-80.747263, 35.226624], [-80.758304, 35.233862], [-80.760564, 35.234544], [-80.759652, 35.236944], [-80.759239, 35.237858], [-80.739917, 35.231733]]]"
371190016091,"[[[-80.739917, 35.231733], [-80.735794, 35.230433], [-80.736687, 35.226011], [-80.735795, 35.223082], [-80.740582, 35.223832], [-80.748699, 35.224333], [-80.748247, 35.224912], [-80.747263, 35.226624], [-80.745314, 35.228679], [-80.739917, 35.231733]]]"
371190016092,"[[[-80.735795, 35.223082], [-80.737442, 35.218724], [-80.73649, 35.214603], [-80.737135, 35.211188], [-80.740362, 35.207788], [-80.743706, 35.211819], [-80.74328, 35.213607], [-80.749754, 35.221068], [-80.750895, 35.221806], [-80.748699, 35.224333], [-80.740582, 35.223832], [-80.735795, 35.223082]]]"
371190017012,"[[[-80.795515, 35.218374], [-80.794421, 35.217968], [-80.792331, 35.217218], [-80.788803, 35.216573], [-80.791288, 35.21224], [-80.795159, 35.213049], [-80.797892, 35.211362], [-80.800292, 35.212602], [-80.797919, 35.214344], [-80.795515, 35.218374]]]"
371190017021,"[[[-80.771281, 35.213992], [-80.766, 35.212919], [-80.762751, 35.212139], [-80.765393, 35.206452], [-80.763491, 35.20517], [-80.767662, 35.20388], [-80.768289, 35.204624], [-80.775407, 35.202939], [-80.777318, 35.203663], [-80.779819, 35.206891], [-80.783475, 35.207822], [-80.780878, 35.214192], [-80.780725, 35.215613], [-80.77572, 35.215132], [-80.771281, 35.213992]]]"
371190017023,"[[[-80.760584, 35.201723], [-80.769855, 35.198565], [-80.771533, 35.199698], [-80.77703, 35.201041], [-80.777318, 35.203663], [-80.775407, 35.202939], [-80.768289, 35.204624], [-80.767662, 35.20388], [-80.763491, 35.20517], [-80.762045, 35.205771], [-80.760068, 35.203824], [-80.760464, 35.202629], [-80.760584, 35.201723]]]"
371190017024,"[[[-80.760584, 35.201723], [-80.760464, 35.202629], [-80.760068, 35.203824], [-80.762045, 35.205771], [-80.763491, 35.20517], [-80.765393, 35.206452], [-80.762751, 35.212139], [-80.757143, 35.20987], [-80.747684, 35.203823], [-80.74626, 35.20341], [-80.750362, 35.203934], [-80.7546, 35.203715], [-80.760584, 35.201723]]]"
371190018011,"[[[-80.801076, 35.210575], [-80.798034, 35.207779], [-80.791064, 35.203118], [-80.796702, 35.200327], [-80.800778, 35.203482], [-80.804968, 35.203331], [-80.807251, 35.204322], [-80.807892, 35.205043], [-80.807992, 35.205187], [-80.807317, 35.205508], [-80.804209, 35.207133], [-80.802528, 35.208914], [-80.802111, 35.209862], [-80.801076, 35.210575]]]"
371190018013,"[[[-80.801076, 35.210575], [-80.80093, 35.211395], [-80.800602, 35.212353], [-80.800292, 35.212602], [-80.797892, 35.211362], [-80.789795, 35.207468], [-80.787159, 35.203175], [-80.785349, 35.203809], [-80.785815, 35.20259], [-80.786119, 35.201915], [-80.791064, 35.203118], [-80.798034, 35.207779], [-80.801076, 35.210575]]]"
371190018021,"[[[-80.772516, 35.18948], [-80.775163, 35.18517], [-80.776402, 35.182152], [-80.780492, 35.185744], [-80.784624, 35.191062], [-80.790598, 35.194289], [-80.793092, 35.195372], [-80.791564, 35.196469], [-80.79127, 35.196716], [-80.790373, 35.196158], [-80.789154, 35.197445], [-80.785285, 35.199311], [-80.784892, 35.194298], [-80.783233, 35.194044], [-80.772516, 35.18948]]]"
371190018022,"[[[-80.79127, 35.196716], [-80.786119, 35.201915], [-80.77703, 35.201041], [-80.771533, 35.199698], [-80.769855, 35.198565], [-80.766327, 35.194732], [-80.770552, 35.191691], [-80.772516, 35.18948], [-80.783233, 35.194044], [-80.784892, 35.194298], [-80.785285, 35.199311], [-80.789154, 35.197445], [-80.790373, 35.196158], [-80.79127, 35.196716]]]"
371190019101,"[[[-80.725949, 35.202503], [-80.7264, 35.195741], [-80.729602, 35.195474], [-80.732478, 35.19423], [-80.735985, 35.188955], [-80.736667, 35.188763], [-80.731382, 35.197434], [-80.736506, 35.19737], [-80.73942, 35.196737], [-80.739187, 35.198875], [-80.741283, 35.198868], [-80.741152, 35.203099], [-80.734631, 35.202801], [-80.727623, 35.202356], [-80.725949, 35.202503]]]"
371190064033,"[[[-80.85504, 35.492985], [-80.852316, 35.496356], [-80.849031, 35.497945], [-80.848477, 35.499255], [-80.844733, 35.498337], [-80.841367, 35.495935], [-80.84065, 35.496886], [-80.83754, 35.4958], [-80.839265, 35.495289], [-80.836701, 35.494461], [-80.824626, 35.487012], [-80.823643, 35.486394], [-80.823152, 35.486091], [-80.819965, 35.48412], [-80.820078, 35.483863], [-80.820054, 35.482247], [-80.819981, 35.479443], [-80.82096, 35.47811], [-80.825347, 35.476774], [-80.828187, 35.478253], [-80.82911, 35.478479], [-80.830335, 35.478313], [-80.830415, 35.478316], [-80.832697, 35.478394], [-80.837925, 35.482393], [-80.842051, 35.482629], [-80.843504, 35.483834], [-80.843545, 35.483914], [-80.843568, 35.483943], [-80.843628, 35.483988], [-80.843678, 35.484059], [-80.843746, 35.48401], [-80.843875, 35.484137], [-80.844722, 35.485225], [-80.844946, 35.485428], [-80.844925, 35.485472], [-80.844962, 35.485719], [-80.845167, 35.485828], [-80.845694, 35.486007], [-80.846158, 35.486136], [-80.846225, 35.486224], [-80.846258, 35.486234], [-80.846287, 35.486233], [-80.846342, 35.486185], [-80.848844, 35.487048], [-80.851342, 35.490039], [-80.851527, 35.491044], [-80.856037, 35.490697], [-80.85504, 35.492985]]]"
371190064041,"[[[-80.819965, 35.48412], [-80.823152, 35.486091], [-80.823643, 35.486394], [-80.824626, 35.487012], [-80.836701, 35.494461], [-80.839265, 35.495289], [-80.83754, 35.4958], [-80.833283, 35.498234], [-80.831772, 35.49955], [-80.825233, 35.499369], [-80.820891, 35.498628], [-80.81707, 35.499058], [-80.814454, 35.500767], [-80.813227, 35.502908], [-80.811569, 35.504238], [-80.801273, 35.507098], [-80.801108, 35.507087], [-80.796479, 35.507088], [-80.787859, 35.507093], [-80.784339, 35.50584], [-80.784786, 35.504169], [-80.787725, 35.499997], [-80.788494, 35.496455], [-80.787942, 35.493135], [-80.782462, 35.484321], [-80.782426, 35.481763], [-80.780211, 35.475083], [-80.785133, 35.473447], [-80.790181, 35.472068], [-80.793049, 35.472978], [-80.797098, 35.474216], [-80.799321, 35.474366], [-80.800498, 35.474609], [-80.80179, 35.475485], [-80.802103, 35.475878], [-80.803121, 35.477272], [-80.805428, 35.480344], [-80.811696, 35.483466], [-80.818356, 35.483389], [-80.819965, 35.48412]]]"
371190064042,"[[[-80.825347, 35.476774], [-80.82096, 35.47811], [-80.819981, 35.479443], [-80.820054, 35.482247], [-80.820078, 35.483863], [-80.819965, 35.48412], [-80.818356, 35.483389], [-80.811696, 35.483466], [-80.805428, 35.480344], [-80.803121, 35.477272], [-80.802103, 35.475878], [-80.80179, 35.475485], [-80.800498, 35.474609], [-80.799321, 35.474366], [-80.797098, 35.474216], [-80.793049, 35.472978], [-80.790181, 35.472068], [-80.785133, 35.473447], [-80.780211, 35.475083], [-80.779376, 35.472223], [-80.775501, 35.466813], [-80.775053, 35.465331], [-80.774407, 35.464332], [-80.774015, 35.46392], [-80.773738, 35.463669], [-80.77355, 35.463322], [-80.773492, 35.458645], [-80.770613, 35.452453], [-80.766179, 35.443524], [-80.764909, 35.440968], [-80.768357, 35.44074], [-80.776663, 35.4432], [-80.778634, 35.443857], [-80.782271, 35.445916], [-80.786685, 35.446904], [-80.791309, 35.448839], [-80.796012, 35.450237], [-80.801567, 35.454354], [-80.806396, 35.455349], [-80.807201, 35.455208], [-80.80954, 35.454414], [-80.809826, 35.45556], [-80.810193, 35.456165], [-80.814178, 35.457133], [-80.818084, 35.456168], [-80.821148, 35.45732], [-80.821153, 35.459986], [-80.816079, 35.464863], [-80.814619, 35.467735], [-80.814764, 35.468153], [-80.814869, 35.468381], [-80.815927, 35.46993], [-80.816163, 35.470634], [-80.816394, 35.471603], [-80.816497, 35.471959], [-80.816595, 35.472227], [-80.816694, 35.472459], [-80.816858, 35.472776], [-80.817141, 35.473264], [-80.818664, 35.472284], [-80.822088, 35.473685], [-80.825347, 35.476774]]]"
371190064052,"[[[-80.821148, 35.45732], [-80.823239, 35.456946], [-80.825692, 35.455075], [-80.828376, 35.454026], [-80.833425, 35.454892], [-80.837484, 35.453808], [-80.842837, 35.453668], [-80.842817, 35.4538], [-80.842675, 35.457006], [-80.844369, 35.460563], [-80.844492, 35.460752], [-80.847331, 35.465116], [-80.851445, 35.471446], [-80.850537, 35.472353], [-80.852983, 35.47381], [-80.853979, 35.475334], [-80.857498, 35.480313], [-80.85781, 35.481182], [-80.858781, 35.485627], [-80.857483, 35.491833], [-80.856314, 35.492709], [-80.855768, 35.492827], [-80.85504, 35.492985], [-80.856037, 35.490697], [-80.851527, 35.491044], [-80.851342, 35.490039], [-80.848844, 35.487048], [-80.846342, 35.486185], [-80.846287, 35.486233], [-80.846258, 35.486234], [-80.846225, 35.486224], [-80.846158, 35.486136], [-80.845694, 35.486007], [-80.845167, 35.485828], [-80.844962, 35.485719], [-80.844925, 35.485472], [-80.844946, 35.485428], [-80.844722, 35.485225], [-80.843875, 35.484137], [-80.843746, 35.48401], [-80.843678, 35.484059], [-80.843628, 35.483988], [-80.843568, 35.483943], [-80.843545, 35.483914], [-80.843504, 35.483834], [-80.842051, 35.482629], [-80.837925, 35.482393], [-80.832697, 35.478394], [-80.830415, 35.478316], [-80.830335, 35.478313], [-80.82911, 35.478479], [-80.828187, 35.478253], [-80.825347, 35.476774], [-80.822088, 35.473685], [-80.818664, 35.472284], [-80.817141, 35.473264], [-80.816858, 35.472776], [-80.816694, 35.472459], [-80.816595, 35.472227], [-80.816497, 35.471959], [-80.816394, 35.471603], [-80.816163, 35.470634], [-80.815927, 35.46993], [-80.814869, 35.468381], [-80.814764, 35.468153], [-80.814619, 35.467735], [-80.816079, 35.464863], [-80.821153, 35.459986], [-80.821148, 35.45732]]]"
371190064061,"[[[-80.873509, 35.483651], [-80.868034, 35.483972], [-80.85781, 35.481182], [-80.857498, 35.480313], [-80.853979, 35.475334], [-80.854067, 35.475297], [-80.855481, 35.474875], [-80.856593, 35.476486], [-80.861043, 35.474529], [-80.864206, 35.475438], [-80.868994, 35.4714], [-80.872933, 35.470763], [-80.873096, 35.470578], [-80.873257, 35.470345], [-80.873373, 35.470258], [-80.873681, 35.471036], [-80.874385, 35.475992], [-80.87409, 35.477682], [-80.873401, 35.479817], [-80.873509, 35.483651]]]"
371190064062,"[[[-80.873373, 35.470258], [-80.873257, 35.470345], [-80.873096, 35.470578], [-80.872933, 35.470763], [-80.868994, 35.4714], [-80.864206, 35.475438], [-80.861043, 35.474529], [-80.856593, 35.476486], [-80.855481, 35.474875], [-80.856697, 35.474401], [-80.859584, 35.470751], [-80.862594, 35.468199], [-80.866994, 35.463601], [-80.867435, 35.46223], [-80.869837, 35.461317], [-80.871041, 35.464365], [-80.873373, 35.470258]]]"
371190064063,"[[[-80.853979, 35.475334], [-80.852983, 35.47381], [-80.850537, 35.472353], [-80.851445, 35.471446], [-80.847331, 35.465116], [-80.851586, 35.462648], [-80.859327, 35.455244], [-80.860609, 35.454078], [-80.861168, 35.453937], [-80.861916, 35.454631], [-80.862576, 35.455529], [-80.865548, 35.458422], [-80.868606, 35.458198], [-80.869837, 35.461317], [-80.867435, 35.46223], [-80.866994, 35.463601], [-80.862594, 35.468199], [-80.859584, 35.470751], [-80.856697, 35.474401], [-80.855481, 35.474875], [-80.854067, 35.475297], [-80.853979, 35.475334]]]"
371190064071,"[[[-80.866591, 35.447548], [-80.866629, 35.447799], [-80.866678, 35.448236], [-80.866758, 35.448906], [-80.866935, 35.450296], [-80.867578, 35.455106], [-80.868008, 35.456639], [-80.868606, 35.458198], [-80.865548, 35.458422], [-80.862576, 35.455529], [-80.861916, 35.454631], [-80.861168, 35.453937], [-80.860609, 35.454078], [-80.859327, 35.455244], [-80.851586, 35.462648], [-80.847331, 35.465116], [-80.844492, 35.460752], [-80.844369, 35.460563], [-80.842675, 35.457006], [-80.842817, 35.4538], [-80.842837, 35.453668], [-80.843211, 35.451022], [-80.844862, 35.451306], [-80.845496, 35.451445], [-80.846501, 35.451779], [-80.848606, 35.449956], [-80.856351, 35.451499], [-80.856551, 35.451553], [-80.856711, 35.45159], [-80.859183, 35.451895], [-80.862327, 35.450852], [-80.864421, 35.450277], [-80.865001, 35.450069], [-80.865318, 35.449889], [-80.865907, 35.448683], [-80.866148, 35.448169], [-80.866591, 35.447548]]]"
371199801001,"[[[-80.957967, 35.189614], [-80.957973, 35.189946], [-80.958198, 35.190891], [-80.963814, 35.191413], [-80.96428, 35.192967], [-80.966687, 35.194761], [-80.96767, 35.19929], [-80.967757, 35.20343], [-80.968536, 35.203409], [-80.968442, 35.206577], [-80.968868, 35.21443], [-80.969735, 35.219478], [-80.970698, 35.223075], [-80.970956, 35.229657], [-80.965139, 35.230604], [-80.959322, 35.232909], [-80.956243, 35.233692], [-80.952755, 35.233181], [-80.946211, 35.228575], [-80.943395, 35.227789], [-80.928096, 35.225142], [-80.924714, 35.224852], [-80.923069, 35.215688], [-80.927752, 35.214056], [-80.929033, 35.208005], [-80.927137, 35.203502], [-80.930823, 35.198335], [-80.93325, 35.196982], [-80.935634, 35.197072], [-80.933317, 35.193883], [-80.934209, 35.193519], [-80.942298, 35.193208], [-80.947624, 35.192445], [-80.955047, 35.190317], [-80.955551, 35.190191], [-80.957967, 35.189614]]]"
371199802001,"[[[-80.9199560446221, 35.0912275457439], [-80.93495, 35.107409], [-80.9471106436737, 35.099572494456396], [-80.95787, 35.092639], [-80.95787362161549, 35.0926369238479], [-80.957566, 35.093388], [-80.957382, 35.09399], [-80.956719, 35.096239], [-80.955546, 35.098406], [-80.95356, 35.105501], [-80.951772, 35.106834], [-80.951954, 35.111785], [-80.95326, 35.119439], [-80.946923, 35.122523], [-80.944217, 35.124648], [-80.941741, 35.129621], [-80.939644, 35.129268], [-80.938434, 35.12897], [-80.93641, 35.129877], [-80.924899, 35.133975], [-80.921462, 35.128471], [-80.917517, 35.125263], [-80.909572, 35.121828], [-80.904713, 35.118423], [-80.912909, 35.113818], [-80.915479, 35.11125], [-80.91588, 35.109007], [-80.915361, 35.106374], [-80.9199560446221, 35.0912275457439]]]"
